nom_vernaculaire;nom_scientifique;cd_nom
Belette d'Europe;Mustela nivalis;60716
Hermine;Mustela erminea;60686
Vison d’Europe;Mustela lutreola;60704
Vison d’Amérique;Mustela vison;60746
Putois d'Europe;Mustela putorius;60731
Fouine;Martes foina;60674
Martre des pins;Marte martes;60658
Blaireau européen;Meles meles;60636
Loutre;Lutra lutra;60630
Genette;Genetta genetta;60831
Raton laveur;Procyon lotor;60822
Chat sauvage;Felis silvestris;79306
Renard roux;Vulpes vulpes;60585
Chien viverrin;Nyctereutes procyonoides;60582
Castor d'Eurasie;Castor fiber;61212
;;
