"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Algyroides fitzingeri (Wiegmann, 1834)";"Algyroïde de Fitzinger";"Algyroides fitzingeri (Wiegmann, 1834)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"77580"
"";"Alytes obstetricans (Laurenti, 1768)";"Alyte accoucheur";"Alytes obstetricans obstetricans (Laurenti, 1768)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"202"
"";"Alytes obstetricans (Laurenti, 1768)";"Alyte accoucheur";"Alytes obstetricans (Laurenti, 1768)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"197"
"";"Anguis fragilis Linnaeus, 1758";"Orvet fragile";"Anguis fragilis Linnaeus, 1758";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 3";"77490"
"";"Anguis veronensis Pollini, 1818";"Orvet de Vérone";"Anguis veronensis Pollini, 1818";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 3";"719483"
"";"Archaeolacerta bedriagae (Camerano, 1885)";"Lézard de Bedriaga";"Archaeolacerta bedriagae bedriagae (Camerano, 1885)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"79289"
"";"Archaeolacerta bedriagae (Camerano, 1885)";"Lézard de Bedriaga";"Archaeolacerta bedriagae (Camerano, 1885)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"77614"
"";"Bombina variegata (Linnaeus, 1758)";"Sonneur à ventre jaune";"Bombina variegata variegata (Linnaeus, 1758)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"215"
"";"Bombina variegata (Linnaeus, 1758)";"Sonneur à ventre jaune";"Bombina variegata (Linnaeus, 1758)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"212"
"";"Bufo bufo (Linnaeus, 1758)";"Crapaud commun";"Bufo bufo (Linnaeus, 1758)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 3";"259"
"";"Bufo spinosus (Daudin 1803)";"Crapaud épineux";"Bufo spinosus (Daudin, 1803)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 3";"774678"
"";"Bufotes viridis (Laurenti, 1768)";"Crapaud vert";"Bufotes viridis balearicus (Boettger, 1880)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"819824"
"";"Bufotes viridis (Laurenti, 1768)";"Crapaud vert";"Bufotes viridis viridis (Laurenti, 1768)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"819825"
"";"Bufotes viridis (Laurenti, 1768)";"Crapaud vert";"Bufotes viridis (Laurenti, 1768)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"819822"
"";"Calotriton asper (Al. Dugès, 1852)";"Calotriton des Pyrénées";"Calotriton asper (Al. Dugès, 1852)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"444427"
"";"Chalcides striatus (Cuvier, 1829)";"Seps strié";"Chalcides striatus (Cuvier, 1829)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 3";"77871"
"";"Coronella austriaca Laurenti, 1768";"Coronelle lisse";"Coronella austriaca austriaca Laurenti, 1768";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"77960"
