"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Euphydryas aurinia beckeri (Lederer, 1853)";"";"Euphydryas beckeri (Lederer, 1853)";"Liste des insectes protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des insectes protégés sur l’ensemble du territoire et les modalités de leur protection";"Article 3";"829898"
"";"Aphaenops ssp. Bonvouloir, 1861";"Les Aphaenops";"Aphaenops aeacus (Saulcy, 1864)";"Liste des insectes protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des insectes protégés sur l’ensemble du territoire et les modalités de leur protection";"Article 3";"793282"
"";"Aphaenops ssp. Bonvouloir, 1861";"Les Aphaenops";"Aphaenops alberti Jeannel, 1939";"Liste des insectes protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des insectes protégés sur l’ensemble du territoire et les modalités de leur protection";"Article 3";"458944"
"";"Aphaenops ssp. Bonvouloir, 1861";"Les Aphaenops";"Aphaenops baretosanus baretosanus Jeannel, 1941";"Liste des insectes protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des insectes protégés sur l’ensemble du territoire et les modalités de leur protection";"Article 3";"795419"
"";"Aphaenops ssp. Bonvouloir, 1861";"Les Aphaenops";"Aphaenops baretosanus gaudini Jeannel, 1947";"Liste des insectes protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des insectes protégés sur l’ensemble du territoire et les modalités de leur protection";"Article 3";"795420"
"";"Aphaenops ssp. Bonvouloir, 1861";"Les Aphaenops";"Aphaenops baretosanus Jeannel, 1941";"Liste des insectes protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des insectes protégés sur l’ensemble du territoire et les modalités de leur protection";"Article 3";"795220"
"";"Aphaenops ssp. Bonvouloir, 1861";"Les Aphaenops";"Aphaenops bessoni Cabidoche, 1962";"Liste des insectes protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des insectes protégés sur l’ensemble du territoire et les modalités de leur protection";"Article 3";"458945"
"";"Aphaenops ssp. Bonvouloir, 1861";"Les Aphaenops";"Aphaenops blancheti Gaudin, 1947";"Liste des insectes protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des insectes protégés sur l’ensemble du territoire et les modalités de leur protection";"Article 3";"794326"
"";"Aphaenops ssp. Bonvouloir, 1861";"Les Aphaenops";"Aphaenops bonneti Fourès, 1948";"Liste des insectes protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des insectes protégés sur l’ensemble du territoire et les modalités de leur protection";"Article 3";"458946"
"";"Aphaenops ssp. Bonvouloir, 1861";"Les Aphaenops";"Aphaenops bouilloni Coiffait, 1955";"Liste des insectes protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des insectes protégés sur l’ensemble du territoire et les modalités de leur protection";"Article 3";"458947"
"";"Aphaenops ssp. Bonvouloir, 1861";"Les Aphaenops";"Aphaenops bourgoini bourgoini Jeannel, 1946";"Liste des insectes protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des insectes protégés sur l’ensemble du territoire et les modalités de leur protection";"Article 3";"795422"
"";"Aphaenops ssp. Bonvouloir, 1861";"Les Aphaenops";"Aphaenops bourgoini crassus Coiffait, 1955";"Liste des insectes protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des insectes protégés sur l’ensemble du territoire et les modalités de leur protection";"Article 3";"795423"
"";"Aphaenops ssp. Bonvouloir, 1861";"Les Aphaenops";"Aphaenops bourgoini vandeli Coiffait, 1969";"Liste des insectes protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des insectes protégés sur l’ensemble du territoire et les modalités de leur protection";"Article 3";"795424"
