"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Ovis gmelini musimon var. corsicana";"Mouflon de Corse";"Ovis gmelinii musimon (Pallas, 1811)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"199194"
"";"Arvicola sapidus";"Campagnol amphibie";"Arvicola sapidus tenebricus Miller, 1908";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"199964"
"";"Arvicola sapidus";"Campagnol amphibie";"Arvicola sapidus Miller, 1908";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"61258"
"";"Barbastella barbastellus";"Barbastelle";"Barbastella barbastellus (Schreber, 1774)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60345"
"";"Canis lupus";"Loup";"Canis lupus lupus Linnaeus, 1758";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"899246"
"";"Canis lupus";"Loup";"Canis lupus Linnaeus, 1758";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60577"
"";"Capra ibex";"Bouquetin des Alpes";"Capra ibex Linnaeus, 1758";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"61098"
"";"Capra pyrenaica";"Bouquetin des Pyrénées";"Capra pyrenaica Schinz, 1838";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"61100"
"";"Castor fiber";"Castor d'Europe";"Castor fiber Linnaeus, 1758";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"61212"
"";"Cricetus cricetus";"Hamster commun";"Cricetus cricetus (Linnaeus, 1758)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"61458"
