"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Hydrobia scamandri Boeters, Monod et Vala, 1977";"";"Eupaludestrina scamandri (Boeters, Monod & Vala, 1977)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"971472"
"";"Abida secale ateni (Drapanaud, 1801)";"";"Abida ateni E. Gittenberger, 1973";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"530983"
"";"Anisus vorticulus";"";"Anisus vorticulus (Troschel, 1834)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 2";"64098"
"";"Arganiella exilis (synonyme : Horatia exilis) (Paladilhe, 1867)";"";"Heraultiella exilis (Paladilhe, 1867)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"200249"
"";"Avenionia brevis (Draparnaud, 1805)";"";"Avenionia brevis (Draparnaud, 1805)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"62145"
"";"Belgrandiella pyrenaica Boeters, 1983";"";"Alzoniella pyrenaica (Boeters, 1983)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"162815"
"";"Bythinella bicarinata (des Moulins, 1827)";"";"Bythinella bicarinata (Des Moulins, 1827)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"62161"
"";"Bythinella carinulata (Drouet, 1868)";"";"Bythinella viridis (Poiret, 1801)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"62153"
"";"Bythinella pupoides (Paladilhe, 1869)";"";"Bythinella pupoides phreaticola R. Bernasconi, 1989";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"162832"
"";"Bythinella pupoides (Paladilhe, 1869)";"";"Bythinella pupoides pupoides (Paladilhe, 1869)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"162831"
"";"Bythinella pupoides (Paladilhe, 1869)";"";"Bythinella pupoides (Paladilhe, 1869)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"62156"
"";"Bythinella reyniesii (Dupuy, 1851)";"";"Bythinella reyniesii (Dupuy, 1851)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"62159"
"";"Bythinella vesontiana Bernasconi, 1989";"";"Bythinella vesontiana R. Bernasconi, 1989";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"162836"
"";"Bythinella viridis (Poiret, 1801)";"";"Bythinella viridis (Poiret, 1801)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"62153"
"";"Bythiospeum articense Bernasconi, 1985";"";"Bythiospeum articense R. Bernasconi, 1985";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"162797"
"";"Bythiospeum bressanum Bernasconi, 1985";"";"Bythiospeum bressanum R. Bernasconi, 1985";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"162793"
"";"Bythiospeum diaphanum (Michaud, 1831)";"";"Bythiospeum diaphanum alpillense Girardi, 2009";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"459689"
"";"Bythiospeum diaphanum (Michaud, 1831)";"";"Bythiospeum diaphanum diaphanum (Michaud, 1831)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"162783"
"";"Bythiospeum diaphanum (Michaud, 1831)";"";"Bythiospeum diaphanum fernetense Girardi, 2009";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"459694"
"";"Bythiospeum diaphanum (Michaud, 1831)";"";"Bythiospeum diaphanum luberonense Girardi, 2009";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"459687"
"";"Bythiospeum diaphanum (Michaud, 1831)";"";"Bythiospeum diaphanum michaellense Girardi, 2002";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"530991"
"";"Bythiospeum diaphanum (Michaud, 1831)";"";"Bythiospeum diaphanum montbrunense Girardi & Bertrand, 2009";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"459690"
"";"Bythiospeum diaphanum (Michaud, 1831)";"";"Bythiospeum diaphanum regalonense Girardi, 2009";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"459686"
"";"Bythiospeum diaphanum (Michaud, 1831)";"";"Bythiospeum diaphanum sarriansense Girardi, 2009";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"459695"
"";"Bythiospeum diaphanum (Michaud, 1831)";"";"Bythiospeum diaphanum (Michaud, 1831)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"62135"
"";"Bythiospeum garnieri (Sayn, 1889)";"";"Bythiospeum garnieri (Sayn, 1889)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"162798"
"";"Chondrina megacheilos (Cristofori et Jan, 1832)";"";"Chondrina megacheilos caziotana Pilsbry, 1918";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"163001"
"";"Chondrina megacheilos (Cristofori et Jan, 1832)";"";"Chondrina megacheilos (De Cristofori & Jan, 1832)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"199850"
"";"Cryptazeca monodonta (de Folin et Bérillon, 1877)";"";"Cryptazeca monodonta (de Folin & Bérillon, 1877)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"61733"
"";"Cryptazeca subcylindrica (de Folin et Bérillon, 1877)";"";"Cryptazeca subcylindrica de Folin & Bérillon, 1877";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"163086"
"";"Cyrnotheba corsica (Shuttleworth, 1843)";"";"Cyrnotheba corsica (Shuttleworth, 1843)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 3";"163316"
"";"Elona quimperiana (Férussac, 1821)";"Escargot de Quimper";"Elona quimperiana (Blainville, 1821)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 2";"163461"
"";"Fissuria boui Boeters, 1981";"";"Fissuria boui Boeters, 1981";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"62151"
"";"Hauffenia minuta (Draparnaud, 1805)";"";"Islamia minuta minuta (Draparnaud, 1805)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"162819"
"";"Helix ceratina (synonyme : Helix tristis) (Pfeiffer, 1843)";"Hélix de Corse";"Helix ceratina Shuttleworth, 1843";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 3";"641349"
"";"Hypnophila remyi (Boettger, 1949)";"";"Gomphroa remyi (C.R. Boettger, 1949)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"937461"
"";"Laminifera pauli (Mabille, 1865)";"";"Neniatlanta pauli (J. Mabille, 1865)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 3";"163032"
"";"Litthabitella elliptica (Paladilhe, 1874)";"";"Alzoniella elliptica (Paladilhe, 1874)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"162817"
"";"Macrogasta lineolata euzieriana (Bourguignat, 1869)";"";"Macrogastra mellae leia (Bourguignat, 1877)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"416742"
"";"Macularia niciensis (Férussac, 1821)";"Escargot de Nice";"Macularia niciensis dupuyi (Westerlund, 1876)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 3";"163371"
"";"Macularia niciensis (Férussac, 1821)";"Escargot de Nice";"Macularia niciensis guebhardi (Caziot, 1903)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 3";"163372"
"";"Macularia niciensis (Férussac, 1821)";"Escargot de Nice";"Macularia niciensis niciensis (A. Férussac, 1821)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 3";"163370"
"";"Macularia niciensis (Férussac, 1821)";"Escargot de Nice";"Macularia niciensis (A. Férussac, 1821)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 3";"199826"
"";"Macularia saintyvesi (Caziot in Kobelt, 1906)";"";"Macularia saintivesi (Kobelt, 1906)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 3";"163374"
"";"Margaritifera margaritifera (Linné, 1758)";"Moule d'eau douce ou mulette perlière";"Margaritifera margaritifera (Linnaeus, 1758)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 2";"64435"
"";"Moitessieria lineolata Coutagne, 1882";"";"Spiralix vitrea (Draparnaud, 1801)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"162737"
"";"Moitessieria locardi Coutagne, 1883";"";"Moitessieria locardi Coutagne, 1883";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"162729"
