"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Anas eatoni (Sharpe, 1875)";"Canard d'Eaton";"Anas eatoni drygalskii (Reichenow, 1904)";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"785484"
"";"Anas eatoni (Sharpe, 1875)";"Canard d'Eaton";"Anas eatoni eatoni (Sharpe, 1875)";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"785483"
"";"Anas eatoni (Sharpe, 1875)";"Canard d'Eaton";"Anas eatoni (Sharpe, 1875)";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"432601"
"";"Aptenodytes forsteri (J.-F. Miller, 1778)";"Manchot empereur";"Aptenodytes forsteri G. R. Gray, 1844";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"441649"
"";"Aptenodytes patagonicus (J.-F. Miller, 1778)";"Manchot royal";"Aptenodytes patagonicus halli Mathews, 1911";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"820454"
"";"Aptenodytes patagonicus (J.-F. Miller, 1778)";"Manchot royal";"Aptenodytes patagonicus Miller, 1778";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"441650"
"";"Catharacta antarctica (Lesson, 1831)";"Skua subantarctique";"Stercorarius antarcticus lonnbergi Mathews, 1912";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"626256"
"";"Catharacta antarctica (Lesson, 1831)";"Skua subantarctique";"Stercorarius antarcticus (Lesson, 1831)";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"626255"
"";"Catharacta maccormicki (Saunders, 1893)";"Skua antarctique";"Stercorarius maccormicki Saunders, 1893";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"442378"
"";"Chionis minor (Hartlaub, 1841)";"Petit bec-en-fourreau";"Chionis minor crozettensis (Sharpe, 1896)";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"713011"
