"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Leuciscus leuciscus";"";"Leuciscus bearnensis (Blanchard, 1866)";"Liste des espèces de poissons protégées sur l'ensemble du territoire français national";"Arrêté interministériel du 8 décembre 1988 fixant la liste des espèces de poissons protégées sur l'ensemble du territoire national";"Article 1";"347978"
"";"Leuciscus leuciscus";"";"Leuciscus burdigalensis Valenciennes in Cuvier & Valenciennes, 1844";"Liste des espèces de poissons protégées sur l'ensemble du territoire français national";"Arrêté interministériel du 8 décembre 1988 fixant la liste des espèces de poissons protégées sur l'ensemble du territoire national";"Article 1";"67292"
"";"Leuciscus leuciscus";"";"Leuciscus oxyrrhis (La Blanchère, 1873)";"Liste des espèces de poissons protégées sur l'ensemble du territoire français national";"Arrêté interministériel du 8 décembre 1988 fixant la liste des espèces de poissons protégées sur l'ensemble du territoire national";"Article 1";"521596"
"";"Esox lucius";"";"Esox aquitanicus Denys, Dettai, Persat, Hautecœur & Keith, 2014";"Liste des espèces de poissons protégées sur l'ensemble du territoire français national";"Arrêté interministériel du 8 décembre 1988 fixant la liste des espèces de poissons protégées sur l'ensemble du territoire national";"Article 1";"781090"
"";"Thymallus thymallus";"";"Thymallus ligericus Persat, Weiss, Froufe, Secci-Petretto & Denys, 2019";"Liste des espèces de poissons protégées sur l'ensemble du territoire français national";"Arrêté interministériel du 8 décembre 1988 fixant la liste des espèces de poissons protégées sur l'ensemble du territoire national";"Article 1";"932869"
"";"Alosa alosa";"Grande Alose";"Alosa alosa (Linnaeus, 1758)";"Liste des espèces de poissons protégées sur l'ensemble du territoire français national";"Arrêté interministériel du 8 décembre 1988 fixant la liste des espèces de poissons protégées sur l'ensemble du territoire national";"Article 1";"66967"
"";"Alosa fallax";"Alose feinte";"Alosa fallax (Lacepède, 1803)";"Liste des espèces de poissons protégées sur l'ensemble du territoire français national";"Arrêté interministériel du 8 décembre 1988 fixant la liste des espèces de poissons protégées sur l'ensemble du territoire national";"Article 1";"66996"
"";"Barbus meridionalis";"Barbeau méridional";"Barbus meridionalis Risso, 1827";"Liste des espèces de poissons protégées sur l'ensemble du territoire français national";"Arrêté interministériel du 8 décembre 1988 fixant la liste des espèces de poissons protégées sur l'ensemble du territoire national";"Article 1";"67179"
"";"Blennius fluviatilis";"Blennie fluviatile";"Salariopsis fluviatilis (Asso, 1801)";"Liste des espèces de poissons protégées sur l'ensemble du territoire français national";"Arrêté interministériel du 8 décembre 1988 fixant la liste des espèces de poissons protégées sur l'ensemble du territoire national";"Article 1";"1005993"
"";"Cobitis taenia";"Loche de rivière";"Cobitis taenia Linnaeus, 1758";"Liste des espèces de poissons protégées sur l'ensemble du territoire français national";"Arrêté interministériel du 8 décembre 1988 fixant la liste des espèces de poissons protégées sur l'ensemble du territoire national";"Article 1";"67506"
