"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Pinus mugho Turra";"Pin mugho";"Pinus mugo Turra, 1764";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"113682"
"";"Aquilegia bertolonii Schott";"Ancolie de Bertoloni";"Aquilegia reuteri Boiss., 1854";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"83261"
"";"Carex repens Bellardi";"Laiche rampante";"Carex repens Bellardi, 1792";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"88821"
"";"Allium lineare Schrader.";"Ail dressé";"Allium strictum Schrad., 1809";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"81522"
"";"Centaurium scilloides (L. Fil.) Sampaio.";"Petite centaurée à fleurs de scille";"Centaurium portense (Brot.) Butcher, 1930";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"89851"
"";"Gagea foliosa (J. et C. Presl.) Schultes";"Gagée très feuillue";"Gagea granatelli (Parl.) Parl., 1845";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"99181"
"";"Iris aphylla L.";"Iris sans feuilles";"Iris perrieri Simonet ex P.Fourn., 1935";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"103768"
"";"Leuzea rhapontica (L.) J. Holub.";"Rhapontique des Alpes";"Rhaponticum scariosum Lam., 1779 subsp. scariosum";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"612556"
"";"Limonium minutum L. s.l.";"Statice nain du groupe minutum";"Limonium pseudominutum Erben, 1988";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"106097"
"";"Primula auricula L.";"Oreille d'ours";"Primula lutea Vill., 1787";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"115891"
