"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Brassica oleracea L. var. sylvestris L";"Chou sauvage";"Brassica oleracea L., 1753 subsp. oleracea";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"132211"
"";"Utricularia australis R. Brown";"Utriculaire citrine";"Utricularia neglecta Lehm., 1828";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"128316"
"";"Ophrys sphegodes Mill.";"Ophrys araignée";"Ophrys aranifera Huds., 1778 subsp. aranifera";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"162331"
"";"Ophrys sphegodes Mill.";"Ophrys araignée";"Ophrys aranifera subsp. massiliensis (Viglione & Véla) Véla, 2007";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"621126"
"";"Ophrys sphegodes Mill.";"Ophrys araignée";"Ophrys aranifera subsp. praecox (Corrias) Véla, 2008";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"718256"
"";"Ophrys sphegodes Mill.";"Ophrys araignée";"Ophrys aranifera Huds., 1778";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"110345"
"";"Aceras anthropophorum (L.) Ait f.";"Acéras homme pendu";"Orchis anthropophora (L.) All., 1785";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"110801"
"";"Achillea ptarmica L.";"Achillée sternutatoire";"Achillea ptarmica L., 1753 subsp. ptarmica";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"130749"
"";"Achillea ptarmica L.";"Achillée sternutatoire";"Achillea ptarmica subsp. pyrenaica (Sibth. ex Godr.) Heimerl, 1884";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"130750"
"";"Achillea ptarmica L.";"Achillée sternutatoire";"Achillea ptarmica L., 1753";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"79921"
"";"Alisma lanceolatum With";"Plantain d'eau à feuilles lancéolées";"Alisma lanceolatum With., 1796";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"81263"
