"";"Nom de référence";"Nom vernaculaire";"Statut*";"Règne";"Classe";"Ordre";"Famille";"CD_REF";"CD_NOM";
"";"Ablerus clisiocampae (Ashmead, 1894)";"";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Hymenoptera (Hyménoptères)";"Azotidae";"217958";"217958"
"";"Acacia dealbata Link, 1822";"Mimosa argenté, Mimosa des fleuristes, Mimosa de Bormes, Mimosa d'hiver, Acacia argenté";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Fabales (Fabales)";"Fabaceae (Fabacées)";"79691";"79691"
"";"Acacia mearnsii De Wild., 1925";"Mimosa de Mearns, Mimosa argenté, Mimosa vert, Acacia de Mearns";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Fabales (Fabales)";"Fabaceae (Fabacées)";"79700";"79700"
"";"Acacia saligna (Labill.) H.L.Wendl., 1820";"Mimosa à feuilles de Saule, Mimosa à feuilles bleues";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Fabales (Fabales)";"Fabaceae (Fabacées)";"79710";"79710"
"";"Acer negundo L., 1753 subsp. negundo";"";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Sapindales (Sapindales)";"Sapindaceae (Sapindacées)";"130708";"130708"
"";"Acer negundo L., 1753";"Érable negundo, Érable frêne, Érable à feuilles de frêne, Érable Négondo";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Sapindales (Sapindales)";"Sapindaceae (Sapindacées)";"79766";"79766"
"";"Achnanthidium subhudsonis (Hust.) H. Kobayasi, 2006";"";"J";"Chromista (Chromistes, Lignée brune)";"Bacillariophyceae (Diatomées)";"Achnanthales";"Achnanthidiaceae";"657857";"657857"
"";"Acrothamnion preissii (Sonder) E.M.Wollaston, 1968";"Acrochaetium de Preiss";"J";"Plantae (Plantes)";"Florideophyceae";"Ceramiales";"Ceramiaceae";"369355";"369355"
"";"Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018";"";"J";"Plantae (Plantes)";"Florideophyceae";"Gracilariales";"Gracilariaceae";"943107";"943107"
"";"Ailanthus altissima (Mill.) Swingle, 1916";"Ailante glanduleux, Faux vernis du Japon, Ailante, Ailanthe";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Sapindales (Sapindales)";"Simaroubaceae (Simaroubacées)";"80824";"80824"
"";"Aleurocanthus spiniferus (Quaintance, 1903)";"Aleurode du citronnier";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Hemiptera (Cigales, Cochenilles, Pucerons, Punaises)";"Aleyrodidae";"845923";"845923"
"";"Ambrosia artemisiifolia L., 1753";"Ambroisie à feuilles d'armoise, Ambroise élevée, Ambroisie annuelle";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Asterales (Astérales)";"Asteraceae (Astéracées)";"82080";"82080"
"";"Ameiurus melas (Rafinesque, 1820)";"Poisson-chat";"J";"Animalia (Animaux)";"Actinopterygii (Actinopterygiens, Poissons actinoptérygiens)";"Siluriformes (Poissons-chats)";"Ictaluridae";"67571";"67571"
"";"Amorpha fruticosa L., 1753";"Amorphe arbustive, Indigo du Bush, Amorphe buissonnante, Faux indigo";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Fabales (Fabales)";"Fabaceae (Fabacées)";"82164";"82164"
"";"Amphibalanus improvisus (Darwin, 1854)";"Balane imprévue (La), Balane bernache (La), Petite balane ivoire (La)";"J";"Animalia (Animaux)";"Hexanauplia";"Sessilia";"Balanidae";"647695";"647695"
"";"Anguillicola crassus Kuwahara, Niimi & Itagaki, 1974";"Parasite de l'anguille";"J";"Animalia (Animaux)";"Chromadorea";"Rhabditida";"Anguillicolidae";"238725";"238725"
"";"Anoplophora glabripennis (Motschulsky, 1854)";"Longicorne asiatique";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Coleoptera (Coléoptères)";"Cerambycidae (Longicornes)";"530331";"530331"
