ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;GROUPE_GRAND_PUBLIC;
"5";"199725";"199725";"Bos primigenius Bojanus, 1827";"Bojanus, 1827";"";"";"ES";"Bovidae";"";"";"EX";"";"";"2023.1";"EX";"EX";"2007";"Liste rouge européenne des espèces menacées";"Mammifères";
"5";"162861";"162861";"Bythinella gibbosa (Moquin-Tandon, 1856)";"(Moquin-Tandon, 1856)";"";"";"ES";"Bythinellidae";"";"";"EX";"";"";"2023.1";"EX";"EX";"2010";"Liste rouge européenne des espèces menacées";"Escargots et autres mollusques";
"5";"67856";"67856";"Coregonus bezola Fatio, 1888";"Fatio, 1888";"";"";"ES";"Salmonidae";"";"";"EX";"";"";"2023.1";"EX";"EX";"2008";"Liste rouge européenne des espèces menacées";"Poissons";
"5";"67868";"67868";"Coregonus fera Jurine, 1825";"Jurine, 1825";"";"";"ES";"Salmonidae";"";"";"EX";"";"";"2023.1";"EX";"EX";"2008";"Liste rouge européenne des espèces menacées";"Poissons";
"5";"67870";"67870";"Coregonus hiemalis Jurine, 1825";"Jurine, 1825";"";"";"ES";"Salmonidae";"";"";"EX";"";"";"2023.1";"EX";"EX";"2008";"Liste rouge européenne des espèces menacées";"Poissons";
"5";"0";"0";"Coregonus oxyrinchus (Linnaeus, 1758)";"";"";"";"ES";"";"";"";"EX";"";"";"2023.1";"EX";"EX";"2008";"Liste rouge européenne des espèces menacées";
"5";"199380";"199380";"Pinguinus impennis (Linnaeus, 1758)";"(Linnaeus, 1758)";"";"";"ES";"Alcidae";"";"";"EX";"";"";"2023.1";"EX";"EX";"2015";"Liste rouge européenne des espèces menacées";"Oiseaux";
"5";"199758";"199758";"Prolagus sardus (Wagner, 1832)";"(Wagner, 1832)";"";"";"ES";"Ochotonidae";"";"";"EX";"";"";"2023.1";"EX";"EX";"2019";"Liste rouge européenne des espèces menacées";"Mammifères";
"5";"65836";"65836";"Pseudoyersinia brevipennis Yersin, 1860";"(Yersin, 1860)";"";"";"ES";"Amelidae";"";"";"EX";"";"";"2023.1";"EX";"EX";"2020";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"5";"129545";"129545";"Viola cryana Gillot";"Gillot, 1878";"";"";"ES";"Violaceae";"";"";"EX";"";"";"2023.1";"EX";"EX";"2011";"Liste rouge européenne des espèces menacées";"Plantes, mousses et fougères";
"10";"86621";"86557";"Bromus bromoideus (Lej.) Crep.";"(Lej.) Crép., 1868";"";"";"ES";"Poaceae";"";"";"EW";"";"";"2023.1";"EW";"EW";"2011";"Liste rouge européenne des espèces menacées";"Plantes, mousses et fougères";
"15";"199522";"199522";"Emberiza leucocephalos Gmelin, 1771";"S. G. Gmelin, 1771";"";"";"ES";"Emberizidae";"";"";"RE";"";"";"2023.1";"LC";"RE";"2021";"Liste rouge européenne des espèces menacées";"Oiseaux";
"15";"2526";"2526";"Geronticus eremita (Linnaeus, 1758)";"(Linnaeus, 1758)";"";"";"ES";"Threskiornithidae";"";"";"RE";"";"";"2023.1";"EN";"RE";"2021";"Liste rouge européenne des espèces menacées";"Oiseaux";
"15";"436543";"436543";"Riella parisii Gottsche";"Gottsche, 1867";"";"";"ES";"Riellaceae";"";"";"RE";"";"";"2023.1";"";"RE";"2019";"Liste rouge européenne des espèces menacées";"Plantes, mousses et fougères";
"15";"3415";"3415";"Syrrhaptes paradoxus (Palllas, 1773)";"(Pallas, 1773)";"";"";"ES";"Pteroclidae";"";"";"RE";"";"";"2023.1";"LC";"RE";"2021";"Liste rouge européenne des espèces menacées";"Oiseaux";
"19";"239455";"239455";"Andrena tridentata (Kirby, 1802)";"(Kirby, 1802)";"";"";"ES";"Andrenidae";"";"";"CR*";"B2ab(v)";"";"2023.1";"";"CR*";"2013";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"19";"843455";"843455";"Anonconotus apenninigenus (Targioni-Tozzetti, 1881)";"(Targioni-Tozzetti, 1881)";"";"";"ES";"Tettigoniidae";"";"";"CR*";"B1ab(iii,v)+2ab(iii,v)";"";"2023.1";"CR*";"CR*";"2016";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"19";"3738";"3738";"Anthus gustavi Swinhoe, 1863";"Swinhoe, 1863";"";"";"ES";"Motacillidae";"";"";"CR*";"D";"";"2023.1";"LC";"CR*";"2021";"Liste rouge européenne des espèces menacées";"Oiseaux";
"19";"162805";"162805";"Belgrandia moitessieri (Bourguignat, 1866)";"(Bourguignat, 1866)";"";"";"ES";"Hydrobiidae";"";"";"CR*";"B1ab(iii)+2ab(iii)";"";"2023.1";"CR*";"CR*";"2010";"Liste rouge européenne des espèces menacées";"Escargots et autres mollusques";
"19";"162809";"162809";"Belgrandia varica (J. Paget, 1854)";"(J. Paget, 1854)";"";"";"ES";"Hydrobiidae";"";"";"CR*";"A2a";"";"2023.1";"CR*";"CR*";"2010";"Liste rouge européenne des espèces menacées";"Escargots et autres mollusques";
"19";"162865";"162865";"Bythinella eutrepha (Paladilhe, 1867)";"(Paladilhe, 1867)";"";"";"ES";"Bythinellidae";"";"";"CR*";"B1ab(ii,iii)";"";"2023.1";"CR*";"CR*";"2010";"Liste rouge européenne des espèces menacées";"Escargots et autres mollusques";
"19";"66389";"66389";"Carcharias taurus Rafinesque, 1810";"Rafinesque, 1810";"";"";"ES";"Odontaspididae";"";"";"CR*";"C2a(ii)";"";"2023.1";"CR";"CR*";"2015";"Liste rouge européenne des espèces menacées";"Poissons";
"19";"199347";"199347";"Chlamydotis macqueenii (J.E. Gray, 1832)";"(J. E. Gray, 1832)";"";"";"ES";"Otididae";"";"";"CR*";"D";"";"2023.1";"VU";"CR*";"2021";"Liste rouge européenne des espèces menacées";"Oiseaux";
"19";"526305";"526305";"Corseria corsica (R. Bernasconi, 1994)";"(R. Bernasconi, 1994)";"";"";"ES";"Moitessieriidae";"";"";"CR*";"B1ab(iii,v)";"";"2023.1";"CR*";"CR*";"2010";"Liste rouge européenne des espèces menacées";"Escargots et autres mollusques";
"19";"162730";"162730";"Henrigirardia wienini (Girardi, 2001)";"(Girardi, 2001)";"";"";"ES";"Moitessieriidae";"";"";"CR*";"B1ab(iii)";"";"2023.1";"CR*";"CR*";"2010";"Liste rouge européenne des espèces menacées";"Escargots et autres mollusques";
"19";"163275";"163275";"Montserratina becasis (Rambur, 1868)";"(Rambur, 1868)";"";"";"ES";"Canariellidae";"";"";"CR*";"B2ab(iii)";"";"2023.1";"CR*";"CR*";"2011";"Liste rouge européenne des espèces menacées";"Escargots et autres mollusques";
"19";"2574";"2574";"Numenius tenuirostris Vieillot, 1817";"Vieillot, 1817";"";"";"ES";"Scolopacidae";"";"";"CR*";"D";"";"2023.1";"CR";"CR*";"2021";"Liste rouge européenne des espèces menacées";"Oiseaux";
"19";"66615";"66615";"Pristis pectinata Latham, 1794";"Latham, 1794";"";"";"ES";"Pristidae";"";"";"CR*";"A2b; D";"";"2023.1";"CR";"CR*";"2015";"Liste rouge européenne des espèces menacées";"Poissons";
"19";"66617";"66617";"Pristis pristis (Linnaeus, 1758)";"(Linnaeus, 1758)";"";"";"ES";"Pristidae";"";"";"CR*";"A2b; D";"";"2023.1";"CR";"CR*";"2015";"Liste rouge européenne des espèces menacées";"Poissons";
"19";"217600";"217600";"Riponnensia daccordii (Claussen, 1991)";"(Claussen, 1991)";"";"";"ES";"Syrphidae";"";"";"CR*";"B1ab(i,ii,iii)+2ab(i,ii,iii)";"";"2023.1";"CR*";"CR*";"2021";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"20";"717038";"717038";"Abies nebrodensis (Lojac.) Mattei";"(Lojac.) Mattei, 1908";"";"";"ES";"Pinaceae";"";"";"CR";"A2cd; D";"";"2023.1";"CR";"CR";"2017";"Liste rouge européenne des espèces menacées";"Plantes, mousses et fougères";
"20";"359680";"359680";"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833";"Brandt & Ratzeburg, 1833";"";"";"ES";"Acipenseridae";"";"";"CR";"A2bcde";"";"2023.1";"CR";"CR";"2010";"Liste rouge européenne des espèces menacées";"Poissons";
"20";"66779";"66779";"Acipenser naccarii Bonaparte, 1836";"Bonaparte, 1836";"";"";"ES";"Acipenseridae";"";"";"CR";"A2bcde";"";"2023.1";"CR";"CR";"2022";"Liste rouge européenne des espèces menacées";"Poissons";
"20";"827296";"827296";"Aetomylaeus bovinus (Geoffroy Saint-Hilaire, 1817)";"(Geoffroy Saint-Hilaire, 1817)";"";"";"ES";"Myliobatidae";"";"";"CR";"A2c";"";"2023.1";"CR";"CR";"2015";"Liste rouge européenne des espèces menacées";"Poissons";
"20";"81359";"81359";"Allium corsicum Jauzein, J.-M.Tison, Deschåtres & H.Coudec";"Jauzein, J.-M.Tison, Deschâtres & H.Couderc, 2002";"";"";"ES";"Amaryllidaceae";"";"";"CR";"B1ab(ii,iii,v)+2ab(ii,iii,v)";"";"2023.1";"CR";"CR";"2011";"Liste rouge européenne des espèces menacées";"Plantes, mousses et fougères";
"20";"239295";"239295";"Ammobates dusmeti Popov, 1951";"Popov, 1951";"";"";"ES";"Apidae";"";"";"CR";"B2ab(v)";"";"2023.1";"CR";"CR";"2014";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"20";"66832";"66832";"Anguilla anguilla (Linnaeus, 1758)";"(Linnaeus, 1758)";"";"";"ES";"Anguillidae";"";"";"CR";"A2bd+4bd";"";"2023.1";"CR";"CR";"2023";"Liste rouge européenne des espèces menacées";"Poissons";
"20";"2648";"2648";"Aquila nipalensis Hodgson, 1833";"Hodgson, 1833";"";"";"ES";"Accipitridae";"";"";"CR";"A2abcd+3bcd+4abcd";"";"2023.1";"EN";"CR";"2021";"Liste rouge européenne des espèces menacées";"Oiseaux";
"20";"83992";"83992";"Artemisia insipida Vill.";"Vill., 1779";"";"";"ES";"Asteraceae";"";"";"CR";"D";"";"2023.1";"CR";"CR";"2011";"Liste rouge européenne des espèces menacées";"Plantes, mousses et fougères";
"20";"705889";"705889";"Asplenium auritum Swartz";"Sw., 1801";"";"";"ES";"Aspleniaceae";"";"";"CR";"B1ab(iii,v)+2ab(iii,v); C2a(i); D";"";"2023.1";"";"CR";"2017";"Liste rouge européenne des espèces menacées";"Plantes, mousses et fougères";
"20";"434132";"434132";"Atractylocarpus alpinus (Schimp. ex Milde) Lindb.";"(Schimp. ex Milde) Lindb., 1886";"";"";"ES";"Leucobryaceae";"";"";"CR";"C2a(i); D";"";"2023.1";"";"CR";"2019";"Liste rouge européenne des espèces menacées";"Plantes, mousses et fougères";
"20";"53093";"53093";"Bombus cullumanus (Kirby, 1802)";"(Kirby, 1802)";"";"";"ES";"Apidae";"";"";"CR";"A2c";"";"2023.1";"";"CR";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"20";"434142";"434142";"Calymperes erosum Müll.Hal.";"Müll.Hal., 1848";"";"";"ES";"Calymperaceae";"";"";"CR";"D";"";"2023.1";"";"CR";"2019";"Liste rouge européenne des espèces menacées";"Plantes, mousses et fougères";
"20";"66408";"66408";"Carcharodon carcharias (Linnaeus, 1758)";"(Linnaeus, 1758)";"";"";"ES";"Lamnidae";"";"";"CR";"C2a(ii)";"";"2023.1";"VU";"CR";"2015";"Liste rouge européenne des espèces menacées";"Poissons";
"20";"66534";"66534";"Centrophorus granulosus (Bloch & Schneider, 1801)";"(Bloch & Schneider, 1801)";"";"";"ES";"Centrophoridae";"";"";"CR";"A4b";"";"2023.1";"EN";"CR";"2015";"Liste rouge européenne des espèces menacées";"Poissons";
"20";"436641";"436641";"Cephalozia lacinulata (J.B. Jack ex Gottsche & Rabenh.) Spruce";"(J.B.Jack ex Gottsche & Rabenh.) Spruce, 1882";"";"";"ES";"Cephaloziaceae";"";"";"CR";"C2a(i); D";"";"2023.1";"";"CR";"2019";"Liste rouge européenne des espèces menacées";"Plantes, mousses et fougères";
"20";"6562";"6562";"Cephaloziella phyllacantha (C. Massal. & Carestia) Müll. Frib.";"(C.Massal. & Carestia) Müll.Frib., 1913";"";"";"ES";"Cephaloziellaceae";"";"";"CR";"D";"";"2023.1";"";"CR";"2019";"Liste rouge européenne des espèces menacées";"Plantes, mousses et fougères";
"20";"823610";"823610";"Corneola crombezi (Locard, 1882)";"(Locard, 1882)";"";"";"ES";"Helicidae";"";"";"CR";"B1ab(iii)";"";"2023.1";"CR";"CR";"2011";"Liste rouge européenne des espèces menacées";"Escargots et autres mollusques";
"20";"416657";"416657";"Cottus rondeleti Freyhof, Kottelat & Nolte, 2005";"Freyhof, Kottelat & Nolte, 2005";"";"";"ES";"Cottidae";"";"";"CR";"B1ab(ii,iii)+2ab(ii,iii)";"";"2023.1";"CR";"CR";"2008";"Liste rouge européenne des espèces menacées";"Poissons";
"20";"1003430";"1003430";"Cyathodium foetidissimum Schiffn.";"Schiffn., 1898";"";"";"ES";"Cyathodiaceae";"";"";"CR";"D";"";"2023.1";"";"CR";"2019";"Liste rouge européenne des espèces menacées";"Plantes, mousses et fougères";
"20";"4678";"4678";"Emberiza aureola Pallas, 1773";"Pallas, 1773";"";"";"ES";"Emberizidae";"";"";"CR";"A2bcd+3bcd+4bcd";"";"2023.1";"CR";"CR";"2021";"Liste rouge européenne des espèces menacées";"Oiseaux";
"20";"60851";"60851";"Eubalaena glacialis (Müller, 1776)";"(Müller, 1776)";"";"";"ES";"Balaenidae";"";"";"CR";"D";"";"2023.1";"CR";"CR";"2023";"Liste rouge européenne des espèces menacées";"Mammifères";
"20";"434084";"434084";"Fissidens jansenii Sérgio & Pursell";"Sérgio & Pursell, 2001";"";"";"ES";"Fissidentaceae";"";"";"CR";"B1ab(iii)c(iv)+2ab(iii)c(iv); D";"";"2023.1";"CR";"CR";"2019";"Liste rouge européenne des espèces menacées";"Plantes, mousses et fougères";
"20";"3072";"3072";"Fulica cristata Gmelin, 1789";"Gmelin, 1789";"";"";"ES";"Rallidae";"";"";"CR";"C2a(ii)";"";"2023.1";"LC";"CR";"2021";"Liste rouge européenne des espèces menacées";"Oiseaux";
"20";"100088";"100088";"Geranium maderense Yeo";"Yeo, 1969";"";"";"ES";"Geraniaceae";"";"";"CR";"D";"";"2023.1";"CR";"CR";"2011";"Liste rouge européenne des espèces menacées";"Plantes, mousses et fougères";
"20";"66749";"66749";"Gymnura altavela (Linnaeus, 1758)";"(Linnaeus, 1758)";"";"";"ES";"Gymnuridae";"";"";"CR";"A2bd";"";"2023.1";"EN";"CR";"2015";"Liste rouge européenne des espèces menacées";"Poissons";
"20";"434414";"434414";"Haplocladium microphyllum (Hedw.) Broth.";"(Hedw.) Broth., 1907";"";"";"ES";"Thuidiaceae";"";"";"CR";"C2a(i); D";"";"2023.1";"";"CR";"2019";"Liste rouge européenne des espèces menacées";"Plantes, mousses et fougères";
"20";"641349";"641349";"Helix ceratina Shuttleworth, 1843";"Shuttleworth, 1843";"";"";"ES";"Helicidae";"";"";"CR";"B1ab(i,ii,iii)+2ab(i,ii,iii)";"";"2023.1";"CR";"CR";"2011";"Liste rouge européenne des espèces menacées";"Escargots et autres mollusques";
"20";"963812";"6053";"Hypnum fertile Sendtn.";"Sendtn., 1841";"";"";"ES";"Pylaisiaceae";"";"";"CR";"C2a(i)";"";"2023.1";"CR";"CR";"2019";"Liste rouge européenne des espèces menacées";"Plantes, mousses et fougères";
"20";"217501";"217501";"Ischyroptera bipilosa Pokorny, 1887";"Pokorny, 1887";"";"";"ES";"Syrphidae";"";"";"CR";"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)";"";"2023.1";"CR";"CR";"2021";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"20";"445862";"637782";"Jasminum azoricum L.";"auct.";"";"";"ES";"Oleaceae";"";"";"CR";"D";"";"2023.1";"CR";"CR";"2011";"Liste rouge européenne des espèces menacées";"Plantes, mousses et fougères";
"20";"66417";"66417";"Lamna nasus (Bonnaterre, 1788)";"(Bonnaterre, 1788)";"";"";"ES";"Lamnidae";"";"";"CR";"A2bd";"";"2023.1";"VU";"CR";"2015";"Liste rouge européenne des espèces menacées";"Poissons";
"20";"105237";"105237";"Lathyrus odoratus L.";"L., 1753";"";"";"ES";"Fabaceae";"";"";"CR";"B1ab(v)+2ab(v)";"";"2023.1";"CR";"CR";"2019";"Liste rouge européenne des espèces menacées";"Plantes, mousses et fougères";
