CDNOM;NOM_SCIENTIFIQUE;NOM_VERNACULAIRE;CATEGORIE_HAUTS-DE-FRANCE;CRITERES;CATEGORIE_FRANCE;CATEGORIE_EUROPE
162756;Mercuria anatina (Poiret, 1801);Mercurie variable;RE;-;-;LC
199889;Pseudunio auricularius (Spengler, 1793);Grande mulette;RE;-;-;CR
64452;Potomida littoralis (Cuvier, 1798);Mulette des rivières;RE;-;-;NT
333329;Marstoniopsis insubrica (Küster, 1853);Fausse-bythinelle italienne;CR;B(1+2)ac(iv);-;LC
162942;Azeca goodalli (A. Férussac, 1821);Brillante dentée;CR;B(1+2)ab(iii);-;LC
162984;Abida secale secale (Draparnaud, 1801);Maillot seigle;CR;B(1+2)ab(iii);-;LC
530986;Granaria frumentum frumentum (Draparnaud, 1801);Maillot froment;CR;B(1+2)ab(iii);-;-
367394;Auriculinella bidentata (Montagu, 1808);Ellobie blanche;CR;B(1+2)ab(iii);-;LC
163026;Jaminia quadridens quadridens (O.F. Müller, 1774);Bulime allongé;CR;B(1+2)ab(iii);-;LC
162947;Leiostyla anglica (A. Férussac, 1821);Maillot des Anglais;CR;B(1+2)ab(iii);-;LC
162891;Myxas glutinosa (O.F. Müller, 1774);Limnée cristalline;CR;B(1+2)bc(i,ii,iii,iv);-;LC
162886;Omphiscola glabra (O.F. Müller, 1774);Limnée étroite;CR;B(1+2)bc(i,ii,iii,iv);-;NT
64648;Sphaerium solidum (Normand, 1844);Cyclade des fleuves;CR;B(1+2)ab(ii,iii);-;NT
162937;Quickella arenaria (Potiez & Michaud, 1838);Ambrette des sables;CR;B(1+2)ab(iii);-;LC
163047;Macrogastra ventricosa ventricosa (Draparnaud, 1801);Grande massue;EN;B(1+2)ab(iii);-;LC
162924;Myosotella myosotis (Draparnaud, 1801);Grande ellobie;EN;B(1+2)ab(iii);-;LC
163031;Chondrula tridens tridens (O.F. Müller, 1774);Bulime trois-dents;EN;B(1+2)ab(iii);-;NT
163028;Ena montana (Draparnaud, 1801);Bulime montagnard;EN;B(1+2)ab(iii);-;LC
56508;Candidula unifasciata (Poiret, 1801);Hélicette du thym;EN;B(1+2)ab(iii);-;LC
163273;Xerocrassa geyeri (Soós, 1926);hélicette des steppes;EN;B(1+2)ab(iii);-;DD
163265;Ashfordia granulata (Alder, 1830);Veloutée moine;EN;B(1+2)ab(iii);-;LC
64649;Sphaerium rivicola (Lamarck, 1818);Grande cyclade;EN;B2ab(iii);-;LC
64460;Pseudanodonta complanata (Rossmässler, 1835);Anodonte comprimée;EN;A3e B2ab(iii,iv,v);-;NT
64443;Unio crassus Philipsson, 1788;Mulette épaisse;EN;B(1+2)ab(ii,iii,iv,v);-;VU
162879;Valvata macrostoma Mörch, 1864;Valvée nordique;EN;B(1+2)ab(iii);-;LC
163016;Vertigo pusilla O.F. Müller, 1774;Vertigo inverse;EN;B(1+2)ab(iii);-;LC
458668;Alinda biplicata biplicata (Montagu, 1803);Clausilie septentrionale;VU;B(1+2)ab(ii,iii,iv);-;LC
163077;Balea perversa (Linnaeus, 1758);Balée commune;VU;B(1+2)ab(ii,iii,iv);-;LC
163055;Macrogastra plicatula plicatula (Draparnaud, 1801);Massue costulée;VU;B(1+2)ab(ii,iii,iv);-;LC
64158;Cochlicopa nitens (M. von Gallenstein, 1848);Grande brillante;VU;B(1+2)ab(ii,iii,iv);-;LC
163322;Pseudotrichia rubiginosa (Rossmässler, 1838);Veloutée rouge;VU;B2ab(iii);-;LC
64242;Zenobiella subrufescens (J.S. Miller, 1822);Hélice molle;VU;B(1+2)ab(ii,iii,iv);-;LC
163194;Malacolimax tenellus (O.F. Müller, 1774);Limace jaune;VU;B(1+2)ab(ii,iii,iv);-;LC
64098;Anisus vorticulus (Troschel, 1834);Planorbe naine;VU;B(1+2)ab(ii,iii,iv);-;NT
163012;Truncatellina cylindrica (A. Férussac, 1807);Maillotin mousseron;VU;B(1+2)ab(ii,iii,iv);-;LC
64455;Anodonta anatina (Linnaeus, 1758);Anodonte des rivières;VU;A4e;-;LC
64456;Anodonta cygnea (Linnaeus, 1758);Anodonte des étangs;VU;A4e;-;NT
162960;Vallonia enniensis (Gredler, 1856);Vallonie des marais;VU;B(1+2)ab(ii,iii,iv);-;NT
163018;Vertigo substriata (Jeffreys, 1833);Vertigo strié;VU;B(1+2)ab(ii,iii,iv);-;LC
61992;Viviparus contectus (Millet, 1813);Paludine commune;VU;B(1+2)ab(ii,iii,iv);-;LC
62153;Bythinella viridis (Poiret, 1801);Bythinelle des moulins;NT;pr.B(1+2)b(ii,iii,iv);-;EN
62118;Peringia ulvae (Pennant, 1777);Hydrobie saumâtre;NT;B1b(iii);-;LC
62037;Acicula fusca (Montagu, 1803);Aiguillette fauve;LC;-;-;LC
64131;Acroloxus lacustris (Linnaeus, 1758);Patelline d'Europe;LC;-;-;LC
163207;Deroceras agreste (Linnaeus, 1758);Loche blanche;LC;-;-;LC
64205;Deroceras laeve (O.F. Müller, 1774);Loche des marais;LC;-;-;LC
64206;Deroceras reticulatum (O.F. Müller, 1774);Loche laiteuse;LC;-;-;LC
64179;Arion distinctus Mabille, 1868;Loche glandue;LC;-;-;LC
64180;Arion fasciatus (Nilsson, 1823);Loche grisâtre;LC;-;-;LC
163226;Arion fuscus (O.F. Müller, 1774);Loche rousse;LC;-;-;LC
64181;Arion hortensis Férussac, 1819;Loche noire;LC;-;-;LC
64182;Arion intermedius Normand, 1852;Loche hérisson;LC;-;-;LC
64185;Arion rufus (Linnaeus, 1758);Grande loche;LC;-;-;LC
64187;Arion subfuscus (Draparnaud, 1805);Loche roussâtre;LC;-;-;LC
62189;Bithynia leachii (Sheppard, 1823);Bithynie nordique;LC;-;-;LC
62188;Bithynia tentaculata (Linnaeus, 1758);Bithynie commune;LC;-;-;LC
163245;Fruticicola fruticum (O.F. Müller, 1774);Hélice cerise;LC;-;-;LC
334422;Balea heydeni von Maltzan, 1881;Balée des saules;LC;-;-;LC
163068;Clausilia bidentata bidentata (StrØm, 1765);Clausilie commune;LC;-;-;LC
163064;Clausilia rugosa parvula A. Férussac, 1807;Claulisie lisse;LC;-;-;LC
61729;Cochlodina laminata laminata (Montagu, 1803);Fuseau commun;LC;-;-;LC
436726;Macrogastra rolphii rolphii (W. Turton, 1826);Massue atlantique;LC;-;-;LC
64156;Cochlicopa lubrica (O.F. Müller, 1774);Brillante commune;LC;-;-;LC
593042;Cochlicopa lubricella (Porro, 1838);Petite brillante;LC;-;-;LC
163098;Discus rotundatus rotundatus (O.F. Müller, 1774);Bouton commun;LC;-;-;LC
64035;Carychium minimum O.F. Müller, 1774;Auriculette naine;LC;-;-;LC
64036;Carychium tridentatum (Risso, 1826);Auriculette commune;LC;-;-;LC
163029;Merdigera obscura (O.F. Müller, 1774);Bulime boueux;LC;-;-;LC
521613;Euconulus alderi (J.E. Gray, 1840);Conule brillant;LC;-;-;LC
953002;Euconulus fulvus fulvus (O.F. Müller, 1774);Conule des bois;LC;-;-;LC
163079;Cecilioides acicula (O.F. Müller, 1774);Aiguillette commune;LC;-;-;LC
56502;Aegopinella nitidula (Draparnaud, 1805);Grande luisantine;LC;-;-;LC
56503;Aegopinella pura (Alder, 1830);Petite luisantine;LC;-;-;LC
163154;Nesovitrea hammonis (StrØm, 1765);Luisantine stiée;LC;-;-;LC
64201;Zonitoides nitidus (O.F. Müller, 1774);Luisantine des marais;LC;-;-;LC
912179;Backeljaia gigaxii (L. Pfeiffer, 1847);Hélicette chagrinée;LC;-;-;LC
56510;Cernuella aginnica (Locard, 1882);Caragouille semblable;LC;-;-;LC
163321;Cernuella neglecta (Draparnaud, 1805);Caragouille élargie;LC;-;-;LC
61766;Cernuella virgata (da Costa, 1778);Caragouille globuleuse;LC;-;-;LC
163297;Helicella itala itala (Linnaeus, 1758);Hélicette trompette;LC;-;-;LC
885038;Xeroplexa intersecta (Poiret, 1801);Hélicette carénée;LC;-;-;LC
163344;Arianta arbustorum arbustorum (Linnaeus, 1758);Hélice des bois;LC;-;-;LC
64247;Cepaea hortensis (O.F. Müller, 1774);Escargot des ajrdins;LC;-;-;LC
163387;Cepaea nemoralis nemoralis (Linnaeus, 1758);Escargot des haies;LC;-;-;LC
199863;Cornu aspersum (O.F. Müller, 1774);Escargot petit-gris;LC;-;-;LC
163350;Helicigona lapicida lapicida (Linnaeus, 1758);Soucoupe commune;LC;-;-;LC
64260;Helix pomatia Linnaeus, 1758;Escargot de Bourgogne;LC;-;-;LC
163246;Helicodonta obvoluta obvoluta (O.F. Müller, 1774);Veloutée plane;LC;-;-;LC
64239;Monacha cantiana (Montagu, 1803);Moine globeuleux;LC;-;-;LC
163256;Monacha cartusiana (O.F. Müller, 1774);Petit moine;LC;-;-;LC
163323;Monachoides incarnatus incarnatus (O.F. Müller, 1774);Moine des bois;LC;-;-;LC
416747;Trochulus hispidus (Linnaeus, 1758);Veloutée commune;LC;-;-;LC
416749;Trochulus sericeus (Draparnaud, 1801);Veloutée déprimée;LC;-;-;LC
416752;Trochulus striolatus abludens (Locard, 1888);Veloutée de Locard;LC;-;-;LC
64135;Lauria cylindracea (da Costa, 1778);Maillot commun;LC;-;-;LC
163195;Lehmannia marginata (O.F. Müller, 1774);Limace des bois;LC;-;-;LC
163192;Limacus flavus (Linnaeus, 1758);Limace des caves;LC;-;-;LC
64208;Limax cinereoniger Wolf, 1803;Grande limace;LC;-;-;LC
64213;Limax maximus Linnaeus, 1758;Limace léopard;LC;-;-;LC
901432;Ampullaceana balthica (Linnaeus, 1758);Limnée commune;LC;-;-;LC
64043;Galba truncatula (O.F. Müller, 1774);Limnée épaulée;LC;-;-;LC
64063;Lymnaea stagnalis (Linnaeus, 1758);Grande limnée;LC;-;-;LC
64054;Radix auricularia (Linnaeus, 1758);Limnée conque;LC;-;-;LC
162884;Stagnicola fuscus (C. Pfeiffer, 1821);Limnée des marais;LC;-;-;LC
64049;Stagnicola palustris (O.F. Müller, 1774);Limnée des étangs;LC;-;-;LC
163157;Milax gagates (Draparnaud, 1801);Pseudolimace jayet;LC;-;-;LC
162679;Theodoxus fluviatilis fluviatilis (Linnaeus, 1758);Nérite des rivières;LC;-;-;LC
162949;Sphyradium doliolum (Bruguière, 1792);Maillot barillet;LC;-;-;LC
64193;Oxychilus alliarius (J.S. Miller, 1822);Luisant aillé;LC;-;-;LC
64194;Oxychilus cellarius (O.F. Müller, 1774);Luisant des caves;LC;-;-;LC
64195;Oxychilus draparnaudi (H. Beck, 1837);Grand luisant;LC;-;-;LC
163128;Oxychilus navarricus helveticus (Blum, 1881);Luisant des bois;LC;-;-;LC
64069;Aplexa hypnorum (Linnaeus, 1758);Physe élancée;LC;-;-;LC
64071;Physa fontinalis (Linnaeus, 1758);Physe bulle;LC;-;-;LC
64124;Ancylus fluviatilis O.F. Müller, 1774;Patelline des fleuves;LC;-;-;LC
64091;Anisus leucostoma (Millet, 1813);Planorbe des fossés;LC;-;-;LC
64094;Anisus spirorbis (Linnaeus, 1758);Planorbe de Linné;LC;-;-;LC
64096;Anisus vortex (Linnaeus, 1758);Planorbe tourbillon;LC;-;-;LC
64111;Armiger crista (Linnaeus, 1758);Planorbine à crêtes;LC;-;-;LC
64101;Bathyomphalus contortus (Linnaeus, 1758);Planorbe ombiliquée;LC;-;-;LC
64104;Gyraulus albus (O.F. Müller, 1774);Planorbine poilue;LC;-;-;LC
64114;Hippeutis complanatus (Linnaeus, 1758);Planorbine des fontaines;LC;-;-;LC
162900;Planorbarius corneus corneus (Linnaeus, 1758);Planorbe des étangs;LC;-;-;LC
64079;Planorbis carinatus O.F. Müller, 1774;Planorbe carénée;LC;-;-;LC
64077;Planorbis planorbis (Linnaeus, 1758);Planorbe commune;LC;-;-;LC
