CDNOM;NOM_SCIENTIFIQUE;NOM_VERNACULAIRE;CATEGORIE_HAUTS-DE-FRANCE;CRITERES;CATEGORIE_FRANCE;CATEGORIE_EUROPE
4127;Turdus pilaris Linnaeus, 1758;Grive litorne;RE;-;LC;LC
3089;Tetrax tetrax (Linnaeus, 1758);Outarde canepetière;RE;-;EN;VU
3601;Picus canus Gmelin, 1788;Pic cendré;RE;-;EN;LC
3814;Lanius excubitor Linnaeus, 1758;Pie-grièche grise;CR*;D;EN;LC
3713;Anthus campestris (Linnaeus, 1758);Pipit rousseline;CR*;D;LC;LC
3670;Lullula arborea (Linnaeus, 1758);Alouette lulu;CR;C2a(i);LC;LC
2563;Limosa limosa (Linnaeus, 1758);Barge à queue noire;CR;D;VU;NT
2543;Gallinago gallinago (Linnaeus, 1758);Bécassine des marais;CR;D;CR;VU
2481;Nycticorax nycticorax (Linnaeus, 1758);Bihoreau gris;CR;D;NT;LC
2477;Ixobrychus minutus (Linnaeus, 1766);Blongios nain;CR;C2a(i);EN;LC
2473;Botaurus stellaris (Linnaeus, 1758);Butor étoilé;CR;C1 D;VU;LC
2586;Tringa totanus (Linnaeus, 1758);Chevalier gambette;CR;D;LC;VU
3958;Cinclus cinclus (Linnaeus, 1758);Cincle plongeur;CR;C2a(i);LC;LC
3656;Galerida cristata (Linnaeus, 1758);Cochevis huppé;CR;C1;LC;LC
2576;Numenius arquata (Linnaeus, 1758);Courlis cendré;CR;D;VU;NT
3525;Asio flammeus (Pontoppidan, 1763);Hibou des marais;CR;D;VU;LC
3106;Haematopus ostralegus Linnaeus, 1758;Huîtrier pie;CR;D;LC;VU
3590;Upupa epops Linnaeus, 1758;Huppe fasciée;CR;D;LC;LC
3045;Porzana pusilla (Pallas, 1776);Marouette de Baillon;CR;D;CR;LC
3039;Porzana porzana (Linnaeus, 1766);Marouette ponctuée;CR;C1 D;VU;LC
2844;Milvus milvus (Linnaeus, 1758);Milan royal;CR;D;VU;LC
4532;Passer montanus (Linnaeus, 1758);Moineau friquet;CR;A4a;EN;LC
4338;Panurus biarmicus (Linnaeus, 1758);Panure à moustaches;CR;C2a(i);LC;LC
3053;Crex crex (Linnaeus, 1758);Râle des genêts;CR;C1 D;EN;LC
4198;Acrocephalus arundinaceus (Linnaeus, 1758);Rousserolle turdoïde;CR;A2c C1 D;VU;LC
1958;Anas crecca Linnaeus, 1758;Sarcelle d'hiver;CR;C1 D;VU;LC
4049;Saxicola rubetra (Linnaeus, 1758);Tarier des prés;CR;C1;VU;LC
3595;Jynx torquilla Linnaeus, 1758;Torcol fourmilier;CR;D;NT;LC
4064;Oenanthe oenanthe (Linnaeus, 1758);Traquet motteux;CR;C1 D;NT;LC
2891;Accipiter gentilis (Linnaeus, 1758);Autour des palombes;EN;D;LC;LC
4669;Emberiza schoeniclus (Linnaeus, 1758);Bruant des roseaux;EN;A2a C1;EN;LC
4659;Emberiza cirlus Linnaeus, 1758;Bruant zizi;EN;D;LC;LC
2887;Circus pygargus (Linnaeus, 1758);Busard cendré;EN;D;NT;LC
2514;Ciconia nigra (Linnaeus, 1758);Cigogne noire;EN;CR (D1) (-1);EN;LC
3112;Himantopus himantopus (Linnaeus, 1758);Échasse blanche;EN;D;LC;LC
1991;Aythya ferina (Linnaeus, 1758);Fuligule milouin;EN;D;VU;VU
998;Fulmarus glacialis (Linnaeus, 1760);Fulmar boréal;EN;D;NT;VU
4330;Ficedula hypoleuca (Pallas, 1764);Gobemouche noir;EN;D;VU;LC
3293;Larus canus Linnaeus, 1758;Goéland cendré;EN;D;EN;LC
4510;Corvus corax Linnaeus, 1758;Grand Corbeau;EN;D;LC;LC
3140;Charadrius hiaticula Linnaeus, 1758;Grand Gravelot;EN;B(1+2)ab(ii) D;VU;LC
3142;Charadrius alexandrinus Linnaeus, 1758;Gravelot à collier interrompu;EN;B(1+2)ab(ii) D;VU;LC
4212;Hippolais icterina (Vieillot, 1817);Hypolaïs ictérine;EN;A2c C1;VU;LC
