CDNOM;FAMILLE;NOM_SCIENTIFIQUE;NOM_VERNACULAIRE;CATEGORIE_HAUTS-DE-FRANCE;CRITERES;CATEGORIE_FRANCE;CATEGORIE_EUROPE
53425;Nymphalidae;Chazara briseis (Linnaeus, 1764);Hermite;RE;-;VU;NT
53651;Nymphalidae;Coenonympha hero (Linnaeus, 1761);Fadet de l'élyme, Mélibée;RE;-;CR ;VU 
53631;Nymphalidae;Coenonympha tullia (O.F. Muller, 1764);Fadet des tourbières;RE;-;EN;VU
53483;Nymphalidae;Erebia aethiops (Esper, 1777);Moiré sylvicole;RE;-;LC;LC 
53856;Nymphalidae;Euphydryas maturna (Linnaeus, 1758);Damier du Frêne;RE;-;EN;VU 
53895;Nymphalidae;Fabriciana niobe (Linnaeus, 1758);Chiffre;RE;-;NT;LC 
219750;Lycaenidae;Lycaena virgaureae (Linnaeus, 1758);Cuivré de la verge d'or;RE;-;LC ;LC 
53376;Nymphalidae;Hipparchia fagi (Scopoli, 1763);Sylvandre;RE;-;LC;NT 
219806;Nymphalidae;Hipparchia statilinus (Hufnagel, 1766);Faune;RE;-;LC;NT 
53767;Nymphalidae;Limenitis reducta Staudinger, 1901;Sylvain azuré;RE;-;LC ;LC 
53615;Nymphalidae;Lopinga achine (Scopoli, 1763);Bacchante;RE;-;NT ;VU 
219765;Lycaenidae;Polyommatus thersites (Cantener, 1835);Azuré de l'esparcette;RE;-;LC;LC
53229;Hesperidae;Pyrgus alveus (Hubner, 1803);Hespérie du faux-buis;RE;-;LC ;LC
219743;Hesperidae;Pyrgus carthami (Hubner, 1813);Hespérie du carthame;RE;-;LC;LC
53487;Nymphalidae;Erebia medusa (Denis & Schiffermuller, 1775);Moiré franconien;CR;B(1+2)ab(iii);LC ;LC
54055;Lycaenidae;Pseudophilotes baton (Bergstrasser, 1779);Azuré du Thym;CR;B1ab(iii,iv);LC ;LC 
219815;Nymphalidae;Boloria euphrosyne (Linnaeus, 1758);Grand collier argenté;CR;B1ab(iii);LC ;LC
219753;Lycaenidae;Lycaena hippothoe (Linnaeus, 1761);Cuivré écarlate;CR;B1ab(iii);LC ;LC
219811;Nymphalidae;Melitaea aurelia Nickerl, 1850;Mélitée des Digitales;CR;B1ab(iii);VU;NT 
53794;Nymphalidae;Melitaea didyma (Esper, 1778);Mélitée orangée;CR;B1ab(iii);LC;LC 
219810;Nymphalidae;Melitaea parthenoides Keferstein, 1851;Mélitée de la Lancéole;CR;B1ab(iii);LC ;LC 
53811;Nymphalidae;Melitaea phoebe (Denis & Schiffermuller, 1775);Mélitée des Centaurées;CR;B1ab(iii);LC ;LC 
631133;Lycaenidae;Phengaris arion (Linnaeus, 1758);Azuré du Serpolet;CR;B1ab(iii);LC;EN 
53821;Nymphalidae;Melitaea diamina (Lang, 1789);Mélitée noirâtre;CR;C2a(i);LC ;LC 
53902;Nymphalidae;Fabriciana adippe (Denis & Schiffermuller, 1775);Moyen Nacré;CR;D1;LC ;LC
247064;Zygaenidae;Adscita geryon (Hubner, 1813);Procris de l'Hélianthème;EN;B(1+2)ab(iii);/;/
247063;Zygaenidae;Adscita statices (Linnaeus, 1758);Procris de l'Oseille;EN;B(1+2)ab(iii);/;/
219817;Nymphalidae;Boloria selene (Denis & Schiffermuller, 1775);Petit Collier argenté;EN;B(1+2)ab(iii);NT ;LC 
219751;Lycaenidae;Lycaena tityrus (Poda, 1761);Cuivré fuligineux;EN;B(1+2)ab(iii);LC ;LC
219812;Nymphalidae;Melitaea athalia (Rottemburg, 1775);Mélitée du Mélampyre;EN;B(1+2)ab(iii);LC ;LC
