ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;TYPE_LISTE;GROUPE_GRAND_PUBLIC;
"15";"1884";"1884";"Dolomedes fimbriatus (Clerck, 1757)";"(Clerck, 1758)";"Dolomède des marais, Dolomède bordé";"";"ES";"Pisauridae";"";"";"RE";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"15";"233836";"233836";"Walckenaeria dulciacensis (Denis, 1950)";"";"";"";"ES";"Linyphiidae";"";"";"RE";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";
"15";"233840";"233840";"Walckenaeria incisa (O. Pickard-Cambridge, 1871)";"(O. Pickard-Cambridge, 1871)";"";"";"ES";"Linyphiidae";"";"";"RE";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"19";"836055";"836055";"Centromerus brevipalpus (Menge, 1866)";"(Menge, 1866)";"";"";"ES";"Linyphiidae";"";"";"CR*";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"19";"801";"801";"Lessertia dentichelis (Simon, 1884)";"(Simon, 1884)";"";"";"ES";"Linyphiidae";"";"";"CR*";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"19";"234162";"234162";"Ozyptila rauda Simon, 1875";"Simon, 1875";"";"";"ES";"Thomisidae";"";"";"CR*";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"19";"233186";"233186";"Tegenaria pagana C.L. Koch, 1840";"C.L. Koch, 1840";"";"";"ES";"Agelenidae";"";"";"CR*";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"19";"457314";"457314";"Trichoncus affinis Kulczynski in Chyzer & 1894";"Kulczyński, 1894";"";"";"ES";"Linyphiidae";"";"";"CR*";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"20";"233472";"233472";"Baryphyma pratense (Blackwall, 1861)";"(Blackwall, 1861)";"";"";"ES";"Linyphiidae";"";"";"CR";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"20";"1436";"1436";"Bathyphantes approximatus (O. Pickard-Cambridge, 1871)";"(O. Pickard-Cambridge, 1871)";"";"";"ES";"Linyphiidae";"";"";"CR";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"20";"233474";"233474";"Bathyphantes nigrinus (Westring, 1851)";"(Westring, 1851)";"";"";"ES";"Linyphiidae";"";"";"CR";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"20";"906443";"906443";"Calositticus caricis (Westring, 1861)";"(Westring, 1861)";"";"";"ES";"Salticidae";"";"";"CR";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"20";"233497";"233497";"Centromerus levitarsis (Simon, 1884)";"(Simon, 1884)";"";"";"ES";"Linyphiidae";"";"";"CR";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"20";"1885";"1885";"Dolomedes plantarius (Clerck, 1757)";"(Clerck, 1758)";"";"";"ES";"Pisauridae";"";"";"CR";"";"";"2018";"VU";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"20";"1329";"1329";"Enoplognatha caricis (Fickert, 1876)";"(Fickert, 1876)";"";"";"ES";"Theridiidae";"";"";"CR";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"20";"233563";"233563";"Erigonella ignobilis (O. Pickard-Cambridge, 1871)";"(O. Pickard-Cambridge, 1871)";"";"";"ES";"Linyphiidae";"";"";"CR";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"20";"233572";"233572";"Glyphesis servulus (Simon, 1881)";"(Simon, 1881)";"";"";"ES";"Linyphiidae";"";"";"CR";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"20";"233583";"233583";"Halorates reprobus (O. Pickard-Cambridge, 1879)";"(O. Pickard-Cambridge, 1879)";"";"";"ES";"Linyphiidae";"";"";"CR";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"20";"233346";"233346";"Haplodrassus umbratilis (L. Koch, 1866)";"(L. Koch, 1866)";"";"";"ES";"Gnaphosidae";"";"";"CR";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"20";"304428";"304428";"Neon valentulus Falconer, 1912";"Falconer, 1912";"";"";"ES";"Salticidae";"";"";"CR";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"20";"304711";"304711";"Ozyptila pullata (Thorell, 1875)";"(Thorell, 1875)";"";"";"ES";"Thomisidae";"";"";"CR";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"20";"234164";"234164";"Ozyptila scabricula (Westring, 1851)";"(Westring, 1851)";"";"";"ES";"Thomisidae";"";"";"CR";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"20";"1934";"1934";"Pardosa purbeckensis F. O. Pickard-Cambridge, 1895";"F. O. Pickard-Cambridge, 1895";"";"";"ES";"Lycosidae";"";"";"CR";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"20";"836839";"836839";"Rhysodromus histrio (Latreille, 1819)";"(Latreille, 1819)";"";"";"ES";"Philodromidae";"";"";"CR";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"20";"806892";"806892";"Trichopternoides thorelli (Westring, 1861)";"(Westring, 1861)";"";"";"ES";"Linyphiidae";"";"";"CR";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"20";"233847";"233847";"Walckenaeria obtusa Blackwall, 1836";"Blackwall, 1836";"";"";"ES";"Linyphiidae";"";"";"CR";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"20";"1645";"1645";"Xysticus bifasciatus C.L. Koch, 1837";"C.L. Koch, 1837";"";"";"ES";"Thomisidae";"";"";"CR";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"20";"1642";"1642";"Xysticus ferrugineus Menge, 1876";"Menge, 1876";"";"";"ES";"Thomisidae";"";"";"CR";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"20";"234205";"234205";"Zodarion rubidum Simon, 1914";"Simon, 1914";"";"";"ES";"Zodariidae";"";"";"CR";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"25";"303094";"303094";"Agyneta ramosa Jackson, 1912";"Jackson, 1912";"";"";"ES";"Linyphiidae";"";"";"EN";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"25";"806890";"806890";"Agyneta simplicitarsis (Simon, 1884)";"(Simon, 1884)";"";"";"ES";"Linyphiidae";"";"";"EN";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"25";"233460";"233460";"Allomengea vidua (L. Koch, 1879)";"(L. Koch, 1879)";"";"";"ES";"Linyphiidae";"";"";"EN";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"25";"233463";"233463";"Aphileta misera (O. Pickard-Cambridge, 1882)";"(O. Pickard-Cambridge, 1882)";"";"";"ES";"Linyphiidae";"";"";"EN";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"25";"1820";"1820";"Argyroneta aquatica (Clerck, 1758)";"(Clerck, 1758)";"Argyronète";"";"ES";"Dictynidae";"";"";"EN";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
"25";"1320";"1320";"Asagena phalerata (Panzer, 1801)";"(Panzer, 1800)";"";"";"ES";"Theridiidae";"";"";"EN";"";"";"2018";"";"";"";"Liste rouge des Araignées du Nord et du Pas-de-Calais";"LRR_araignées_NPDC_2018";"Insectes et araignées";
