ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;TYPE_LISTE;GROUPE_GRAND_PUBLIC;
"15";"212";"212";"Bombina variegata (Linnaeus, 1758)";"(Linnaeus, 1758)";"Sonneur à ventre jaune";"";"ES";"Bombinatoridae";"";"";"RE";"";"";"2015";"LC";"LC";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"15";"77600";"77600";"Lacerta agilis Linnaeus, 1758";"Linnaeus, 1758";"Lézard des souches";"";"ES";"Lacertidae";"";"";"RE";"";"";"2015";"LC";"LC";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"15";"240";"240";"Pelobates fuscus (Laurenti, 1768)";"(Laurenti, 1768)";"Pélobate brun";"";"ES";"Pelobatidae";"";"";"RE";"";"";"2015";"LC";"LC";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"20";"299";"299";"Rana arvalis Nilsson, 1842";"Nilsson, 1842";"Grenouille des champs";"";"ES";"Ranidae";"";"";"CR";"B1ab(iii)";"";"2015";"LC";"LC";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"25";"78141";"78141";"Vipera berus (Linnaeus, 1758)";"(Linnaeus, 1758)";"Vipère péliade";"";"ES";"Viperidae";"";"";"EN";"B(1+2)ab(iii)";"";"2015";"LC";"";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"30";"281";"281";"Hyla arborea (Linnaeus, 1758)";"(Linnaeus, 1758)";"Rainette verte";"";"ES";"Hylidae";"";"";"VU";"A2c";"";"2015";"LC";"LC";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"35";"197";"197";"Alytes obstetricans (Laurenti, 1768)";"(Laurenti, 1768)";"Alyte accoucheur";"";"ES";"Alytidae";"";"";"NT";"pr. A2c+B(1+2)ab(ii,iii)";"";"2015";"LC";"LC";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"35";"459628";"267";"Bufo calamita Laurenti, 1768";"Laurenti, 1768";"Crapaud calamite";"";"ES";"Bufonidae";"";"";"NT";"pr. A2c+B(1+2)ab(i,ii,iii)";"";"2015";"";"";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"35";"252";"252";"Pelodytes punctatus (Daudin, 1803)";"(Daudin, 1803)";"Pélodyte ponctué";"";"ES";"Pelodytidae";"";"";"NT";"pr. B2ab(iii)";"";"2015";"LC";"LC";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"35";"92";"92";"Salamandra salamandra (Linnaeus, 1758)";"(Linnaeus, 1758)";"Salamandre tâchetée";"";"ES";"Salamandridae";"";"";"NT";"pr. A3e";"";"2015";"VU";"VU";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
