ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;TYPE_LISTE;GROUPE_GRAND_PUBLIC;
"20";"65204";"65204";"Lestes virens vestalis Rambur, 1842";"Rambur, 1842";"Leste verdoyant septentrional";"";"SSES";"Lestidae";"";"";"CR";"B(1+2)ab(iv,v) C1";"";"2012";"";"";"";"Liste rouge régionale des Odonates du Nord - Pas-de-Calais";"LRR_Odonates_NPDC_2012";"Insectes et araignées";
"25";"199909";"199909";"Aeshna isoceles (Müller, 1767)";"(O.F. Müller, 1767)";"Aeschne isocèle";"";"ES";"Aeshnidae";"";"";"EN";"A2c B(1+2)ab(i,ii,iii,iv)";"";"2012";"LC";"LC";"";"Liste rouge régionale des Odonates du Nord - Pas-de-Calais";"LRR_Odonates_NPDC_2012";"Insectes et araignées";
"25";"65133";"65133";"Coenagrion mercuriale (Charpentier, 1840)";"(Charpentier, 1840)";"Agrion de Mercure";"";"ES";"Coenagrionidae";"";"";"EN";"B(1+2)ab(iii)";"";"2012";"VU";"";"";"Liste rouge régionale des Odonates du Nord - Pas-de-Calais";"LRR_Odonates_NPDC_2012";"Insectes et araignées";
"25";"65387";"65387";"Epitheca bimaculata (Charpentier, 1825)";"(Charpentier, 1825)";"Cordulie à deux taches";"";"ES";"Corduliidae";"";"";"EN";"B(1+2)ab(ii,iii,iv) C2a(ii)";"";"2012";"LC";"LC";"";"Liste rouge régionale des Odonates du Nord - Pas-de-Calais";"LRR_Odonates_NPDC_2012";"Insectes et araignées";
"25";"65225";"65225";"Gomphus vulgatissimus (Linnaeus, 1758)";"(Linnaeus, 1758)";"Gomphe vulgaire";"";"ES";"Gomphidae";"";"";"EN";"B(1+2)ab(iii)";"";"2012";"LC";"LC";"";"Liste rouge régionale des Odonates du Nord - Pas-de-Calais";"LRR_Odonates_NPDC_2012";"Insectes et araignées";
"30";"653286";"653286";"Ceriagrion tenellum (Villers, 1789)";"(Villers, 1789)";"Agrion délicat";"";"ES";"Coenagrionidae";"";"";"VU";"EN (B(1+2)ab(iii)) (-1)";"";"2012";"LC";"LC";"";"Liste rouge régionale des Odonates du Nord - Pas-de-Calais";"LRR_Odonates_NPDC_2012";"Insectes et araignées";
"35";"65415";"65415";"Brachytron pratense (Müller, 1764)";"(O.F. Müller, 1764)";"Aeschne printanière";"";"ES";"Aeshnidae";"";"";"NT";"pr. B2ab(iv)";"";"2012";"LC";"LC";"";"Liste rouge régionale des Odonates du Nord - Pas-de-Calais";"LRR_Odonates_NPDC_2012";"Insectes et araignées";
"35";"65145";"65145";"Coenagrion pulchellum (Vander Linden, 1825)";"(Vander Linden, 1825)";"Agrion joli";"";"ES";"Coenagrionidae";"";"";"NT";"pr. B2b(iii)";"";"2012";"LC";"LC";"";"Liste rouge régionale des Odonates du Nord - Pas-de-Calais";"LRR_Odonates_NPDC_2012";"Insectes et araignées";
"35";"65208";"65208";"Lestes sponsa (Hansemann, 1823)";"(Hansemann, 1823)";"Leste fiancé";"";"ES";"Lestidae";"";"";"NT";"EN (A2c) (-2)";"";"2012";"LC";"LC";"";"Liste rouge régionale des Odonates du Nord - Pas-de-Calais";"LRR_Odonates_NPDC_2012";"Insectes et araignées";
"40";"65456";"65456";"Aeshna affinis Vander Linden, 1820";"Vander Linden, 1820";"Aeschne affine";"";"ES";"Aeshnidae";"";"";"LC";"";"";"2012";"LC";"LC";"";"Liste rouge régionale des Odonates du Nord - Pas-de-Calais";"LRR_Odonates_NPDC_2012";"Insectes et araignées";
