ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;TYPE_LISTE;GROUPE_GRAND_PUBLIC
25;0;0;Bufo calamita  (Population hors littoral);;Crapaud calamite (Population hors littoral);;;;;;EN;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;
25;0;0;Hyla arborea  (Population hors littoral);;Rainette verte (Population hors littoral);;;;;;EN;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;
25;0;0;Pelodytes punctatus  (Population hors littoral);;Pelodyte ponctué (Population hors littoral);;;;;;EN;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;
25;0;0;Rhinolophus hipposideros (sous-population région naturelle du Vexin);;Petit rhinolophe (sous-population région naturelle du Vexin);;;;;;EN;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;
35;92;92;Salamandra salamandra;(Linnaeus, 1758);Salamandre tachetée;;ES;Salamandridae;;;NT;;;2016;VU;VU;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Amphibiens et reptiles
40;444430;121;Triturus alpestris;(Laurenti, 1768);Triton alpestre;;ES;Salamandridae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Amphibiens et reptiles
40;444432;155;Triturus helveticus;(Razoumowsky, 1789);Triton palmé;;ES;Salamandridae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Amphibiens et reptiles
40;197;197;Alytes obstetricans;(Laurenti, 1768);Alyte accoucheur;;ES;Alytidae;;;LC;;;2016;LC;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Amphibiens et reptiles
25;212;212;Bombina variegata;(Linnaeus, 1758);Sonneur à ventre jaune;;ES;Bombinatoridae;;;EN;;;2016;LC;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Amphibiens et reptiles
30;252;252;Pelodytes punctatus;(Daudin, 1803);Pelodyte ponctué;;ES;Pelodytidae;;;VU;;;2016;LC;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Amphibiens et reptiles
40;259;259;Bufo bufo;(Linnaeus, 1758);Crapaud commun;;ES;Bufonidae;;;LC;;;2016;LC;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Amphibiens et reptiles
30;459628;267;Bufo calamita;Laurenti, 1768;Crapaud calamite;;ES;Bufonidae;;;VU;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Amphibiens et reptiles
30;281;281;Hyla arborea;(Linnaeus, 1758);Rainette verte;;ES;Hylidae;;;VU;;;2016;LC;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Amphibiens et reptiles
40;310;310;Rana dalmatina;Fitzinger in Bonaparte, 1838;Grenouille agile;;ES;Ranidae;;;LC;;;2016;LC;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Amphibiens et reptiles
45;444440;320;Rana esculenta;Linnaeus, 1758;Grenouille verte;;ES;Ranidae;;;DD;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Amphibiens et reptiles
45;444441;337;Rana lessonae;Camerano, 1882;Grenouille de Lessona;;ES;Ranidae;;;DD;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Amphibiens et reptiles
55;444443;342;Rana ridibunda;Pallas, 1771;Grenouille rieuse;;ES;Ranidae;;;NA;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Amphibiens et reptiles
20;351;351;Rana temporaria;Linnaeus, 1758;Grenouille des champs;;ES;Ranidae;;;CR;;;2016;LC;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Amphibiens et reptiles
40;351;351;Rana temporaria;Linnaeus, 1758;Grenouille rousse;;ES;Ranidae;;;LC;;;2016;LC;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Amphibiens et reptiles
40;850;850;Larinioides patagiatus;(Clerck, 1758);;;ES;Araneidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;899;899;Araneus sturmi;(Hahn, 1831);;;ES;Araneidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
55;1054;1054;Uloborus plumipes;Lucas, 1846;;;ES;Uloboridae;;;NA;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
45;1058;1058;Hyptiotes paradoxus;(C.L. Koch, 1834);;;ES;Uloboridae;;;DD;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
45;1353;1353;Theridiosoma gemmosum;(L. Koch, 1877);;;ES;Theridiosomatidae;;;DD;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
45;1526;1526;Pachygnatha listeri;Sundevall, 1830;;;ES;Tetragnathidae;;;DD;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;1529;1529;Tetragnatha montana;Simon, 1874;;;ES;Tetragnathidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;1530;1530;Tetragnatha extensa;(Linnaeus, 1758);;;ES;Tetragnathidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
45;1532;1532;Tetragnatha obtusa;C.L. Koch, 1837;;;ES;Tetragnathidae;;;DD;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;1546;1546;Meta menardi;(Latreille, 1804);;;ES;Tetragnathidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;1550;1550;Argiope bruennichi;(Scopoli, 1772);;;ES;Araneidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;1556;1556;Agalenatea redii;(Scopoli, 1763);épeire de velours;;ES;Araneidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;1558;1558;Araniella opisthographa;(Kulczyński, 1905);;;ES;Araneidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;1559;1559;Araniella cucurbitina;(Clerck, 1758);araignée courge épeire concombre;;ES;Araneidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;1563;1563;Gibbaranea gibbosa;(Walckenaer, 1802);épeire à bosses;;ES;Araneidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
35;1564;1564;Gibbaranea bituberculata;(Walckenaer, 1802);épeire dromadaire;;ES;Araneidae;;;NT;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
35;1571;1571;Neoscona adianta;(Walckenaer, 1802);Adiante fougère;;ES;Araneidae;;;NT;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;1574;1574;Nuctenea umbratica;(Clerck, 1758);épeire nocturne;;ES;Araneidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;1576;1576;Singa hamata;(Clerck, 1758);;;ES;Araneidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;1580;1580;Cyclosa conica;(Pallas, 1772);épeire conique;;ES;Araneidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
35;1581;1581;Cyclosa oculata;(Walckenaer, 1802);;;ES;Araneidae;;;NT;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;1585;1585;Mangora acalypha;(Walckenaer, 1802);;;ES;Araneidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
45;1587;1587;Zygiella atrica;(C.L. Koch, 1845);;;ES;Araneidae;;;DD;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;1595;1595;Araneus angulatus;Clerck, 1758;araignée anguleuse;;ES;Araneidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;1597;1597;Araneus diadematus;Clerck, 1758;;;ES;Araneidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;1598;1598;Araneus quadratus;Clerck, 1758;araignée à quatre points;;ES;Araneidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;1600;1600;Araneus marmoreus;Clerck, 1758;;;ES;Araneidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;1882;1882;Pisaura mirabilis;(Clerck, 1758);;;ES;Pisauridae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
30;1884;1884;Dolomedes fimbriatus;(Clerck, 1758);;;ES;Pisauridae;;;VU;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
25;1885;1885;Dolomedes plantarius;(Clerck, 1758);;;ES;Pisauridae;;;EN;;;2016;VU;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;791564;11106;Stethorus punctillum;Weise, 1891;;;ES;Coccinellidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
45;11108;11108;Scymnus apetzi;Mulsant, 1846;;;ES;Coccinellidae;;;DD;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
45;11110;11110;Scymnus auritus;Westman in Thunberg, 1795;;;ES;Coccinellidae;;;DD;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
45;11112;11112;Scymnus ferrugatus;(Moll, 1785);;;ES;Coccinellidae;;;DD;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
45;11113;11113;Scymnus frontalis;(Fabricius, 1787);;;ES;Coccinellidae;;;DD;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;11115;11115;Scymnus interruptus;(Goeze, 1777);;;ES;Coccinellidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;11118;11118;Scymnus rubromaculatus;(Goeze, 1777);;;ES;Coccinellidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;11122;11122;Scymnus suturalis;Westman in Thunberg, 1795;;;ES;Coccinellidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
45;11124;11124;Scymnus subvillosus;(Goeze, 1777);;;ES;Coccinellidae;;;DD;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;11131;11131;Chilocorus bipustulatus;(Linnaeus, 1758);Coccinelle des landes;;ES;Coccinellidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;11133;11133;Chilocorus renipustulatus;(Scriba, 1791);Coccinelle des saules;;ES;Coccinellidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
19;791568;11135;Exochomus nigromaculatus;(Goeze, 1777);;;ES;Coccinellidae;;;CR*;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;11138;11138;Coccidula rufa;(Herbst, 1783);Coccidule des marais;;ES;Coccinellidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
35;11139;11139;Coccidula scutellata;(Herbst, 1783);Coccidule tachée;;ES;Coccinellidae;;;NT;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;11141;11141;Rhyzobius chrysomeloides;(Herbst, 1792);Rhizobie des arbres;;ES;Coccinellidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;11142;11142;Rhyzobius litura;(Fabricius, 1787);Rhizobie des friches;;ES;Coccinellidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
30;11144;11144;Hippodamia tredecimpunctata;(Linnaeus, 1758);Coccinelle à 13 points;;ES;Coccinellidae;;;VU;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;11145;11145;Hippodamia variegata;(Goeze, 1777);Coccinelle des friches;;ES;Coccinellidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
55;791574;11147;Hippodamia undecimnotata;(Schneider, 1792);Coccinelle migrante;;ES;Coccinellidae;;;NA;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;11152;11152;Adalia bipunctata;(Linnaeus, 1758);Coccinelle à 2 points;;ES;Coccinellidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;11157;11157;Adalia decempunctata;(Linnaeus, 1758);Coccinelle à 10 points;;ES;Coccinellidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;11165;11165;Coccinella septempunctata;Linnaeus, 1758;Coccinelle à 7 points;;ES;Coccinellidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;11168;11168;Coccinella undecimpunctata;Linnaeus, 1758;Coccinelle à 11 points;;ES;Coccinellidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;11173;11173;Harmonia quadripunctata;(Pontoppidan, 1763);Coccinelle à 4 points;;ES;Coccinellidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;11186;11186;Anatis ocellata;(Linnaeus, 1758);Coccinelle ocellée;;ES;Coccinellidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;11197;11197;Halyzia sedecimguttata;(Linnaeus, 1758);Grande coccinelle orange;;ES;Coccinellidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;11202;11202;Vibidia duodecimguttata;(Poda, 1761);Petite coccinelle orange;;ES;Coccinellidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;53221;53221;Pyrgus malvae;(Linnaeus, 1758);Hespérie de la mauve;;ES;Hesperiidae;;;LC;;;2016;;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
