"X","Nom.cité.dans.le.texte","Nom.français.cité.dans.le.texte","Nom.valide","INTITULE","ARRETE","ARTICLE","CD_NOM"
NA,"Armeria alliacea (Cav.) Hoffm. et Link.","Armérie faux-plantain","Armeria arenaria (Pers.) Schult., 1820 subsp. arenaria","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",131641
NA,"Armeria alliacea (Cav.) Hoffm. et Link.","Armérie faux-plantain","Armeria arenaria subsp. bupleuroides (Godr. & Gren.) Greuter & Burdet, 1989","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",131643
NA,"Armeria alliacea (Cav.) Hoffm. et Link.","Armérie faux-plantain","Armeria arenaria subsp. pradetensis Médail, Baumel & Auda, 2009","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",459326
NA,"Armeria alliacea (Cav.) Hoffm. et Link.","Armérie faux-plantain","Armeria arenaria subsp. praecox (Jord.) Kerguélen, 1987","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",131645
NA,"Armeria alliacea (Cav.) Hoffm. et Link.","Armérie faux-plantain","Armeria arenaria (Pers.) Schult., 1820","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",83809
NA,"Aconitum napellus L. ssp. neomontanum (Wulf.) Gayer","Aconit pyramidal","Aconitum napellus subsp. lusitanicum Rouy, 1884","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",130787
NA,"Alchemilla glaucescens Wallr.","Alchémille glauque","Alchemilla glaucescens Wallr., 1840","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",81091
NA,"Anagallis tenella (L.) L.","Mouron délicat","Lysimachia tenella L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",107085
NA,"Anthericum ramosum L.","Phalangère rameuse","Anthericum ramosum L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",82909
NA,"Apium repens (Jacq.) Lag.","Ache rampante","Helosciadium repens (Jacq.) W.D.J.Koch, 1824","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",101223
NA,"Atriplex glabriuscula Edmondston","Arroche de Babington","Atriplex glabriuscula Edmondston, 1845","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",85063
