"CD_NOM","NOM_CITE","STATUT","Origine_LR"
162756,"Mercuria anatina (Poiret, 1801)","RE","hdf_mollusques"
199889,"Pseudunio auricularius (Spengler, 1793)","RE","hdf_mollusques"
64452,"Potomida littoralis (Cuvier, 1798)","RE","hdf_mollusques"
333329,"Marstoniopsis insubrica (K�ster, 1853)","CR","hdf_mollusques"
162942,"Azeca goodalli (A. F�russac, 1821)","CR","hdf_mollusques"
162984,"Abida secale secale (Draparnaud, 1801)","CR","hdf_mollusques"
530986,"Granaria frumentum frumentum (Draparnaud, 1801)","CR","hdf_mollusques"
367394,"Auriculinella bidentata (Montagu, 1808)","CR","hdf_mollusques"
163026,"Jaminia quadridens quadridens (O.F. M�ller, 1774)","CR","hdf_mollusques"
162947,"Leiostyla anglica (A. F�russac, 1821)","CR","hdf_mollusques"
162891,"Myxas glutinosa (O.F. M�ller, 1774)","CR","hdf_mollusques"
162886,"Omphiscola glabra (O.F. M�ller, 1774)","CR","hdf_mollusques"
64648,"Sphaerium solidum (Normand, 1844)","CR","hdf_mollusques"
162937,"Quickella arenaria (Potiez & Michaud, 1838)","CR","hdf_mollusques"
163047,"Macrogastra ventricosa ventricosa (Draparnaud, 1801)","EN","hdf_mollusques"
162924,"Myosotella myosotis (Draparnaud, 1801)","EN","hdf_mollusques"
163031,"Chondrula tridens tridens (O.F. M�ller, 1774)","EN","hdf_mollusques"
163028,"Ena montana (Draparnaud, 1801)","EN","hdf_mollusques"
56508,"Candidula unifasciata (Poiret, 1801)","EN","hdf_mollusques"
163273,"Xerocrassa geyeri (So�s, 1926)","EN","hdf_mollusques"
163265,"Ashfordia granulata (Alder, 1830)","EN","hdf_mollusques"
64649,"Sphaerium rivicola (Lamarck, 1818)","EN","hdf_mollusques"
64460,"Pseudanodonta complanata (Rossm�ssler, 1835)","EN","hdf_mollusques"
64443,"Unio crassus Philipsson, 1788","EN","hdf_mollusques"
162879,"Valvata macrostoma M�rch, 1864","EN","hdf_mollusques"
163016,"Vertigo pusilla O.F. M�ller, 1774","EN","hdf_mollusques"
458668,"Alinda biplicata biplicata (Montagu, 1803)","VU","hdf_mollusques"
163077,"Balea perversa (Linnaeus, 1758)","VU","hdf_mollusques"
163055,"Macrogastra plicatula plicatula (Draparnaud, 1801)","VU","hdf_mollusques"
64158,"Cochlicopa nitens (M. von Gallenstein, 1848)","VU","hdf_mollusques"
