"cd_nom","GROUP2_INPN"
"100","Amphibiens"
"10000","Insectes"
"1000001","Gastéropodes"
"1000002","Gastéropodes"
"1000003","Gastéropodes"
"1000006","Gastéropodes"
"1000008","Bivalves"
"1000010","Gastéropodes"
"1000020","Insectes"
"1000037","Insectes"
"1000072","Insectes"
"1000073","Insectes"
"1000074","Insectes"
"1000078","Gastéropodes"
"1000089","Autres"
"1000090","Autres"
"10001","Insectes"
"1000164","Insectes"
"1000172","Insectes"
"1000173","Insectes"
"1000186","Insectes"
"100024","Angiospermes"
"1000257","Insectes"
"1000278","Insectes"
"1000297","Insectes"
"1000298","Insectes"
"1000308","Insectes"
"1000311","Angiospermes"
"1000313","Insectes"
"1000315","Insectes"
"1000316","Insectes"
"1000321","Insectes"
"1000323","Insectes"
"1000324","Insectes"
"100033","Angiospermes"
"1000336","Angiospermes"
"1000339","Insectes"
"1000356","Bivalves"
"1000362","Gastéropodes"
"1000365","Bivalves"
"1000372","Gastéropodes"
"1000373","Gastéropodes"
"1000374","Gastéropodes"
"1000375","Gastéropodes"
"1000376","Gastéropodes"
"1000380","Gastéropodes"
"1000382","Gastéropodes"
"1000389","Gastéropodes"
"1000390","Gastéropodes"
"1000392","Angiospermes"
"1000394","Gastéropodes"
"1000397","Gastéropodes"
"10004","Insectes"
"1000402","Gastéropodes"
"1000403","Gastéropodes"
"1000405","Angiospermes"
"1000407","Gastéropodes"
"1000410","Gastéropodes"
"1000416","Gastéropodes"
"100042","Angiospermes"
"1000423","Gastéropodes"
"100045","Angiospermes"
"1000457","Gastéropodes"
"1000461","Gastéropodes"
"1000462","Gastéropodes"
"1000472","Gastéropodes"
"1000475","Gastéropodes"
"1000477","Gastéropodes"
"1000478","Gastéropodes"
"1000480","Gastéropodes"
"1000481","Gastéropodes"
"1000482","Gastéropodes"
"1000483","Gastéropodes"
"1000485","Gastéropodes"
"1000486","Gastéropodes"
"1000490","Gastéropodes"
"1000491","Gastéropodes"
"1000495","Gastéropodes"
"1000496","Gastéropodes"
"1000497","Gastéropodes"
"1000512","Angiospermes"
"100052","Angiospermes"
"100053","Angiospermes"
"1000533","Angiospermes"
"1000562","Angiospermes"
"1000563","Angiospermes"
"1000565","Angiospermes"
"1000568","Angiospermes"
"1000570","Angiospermes"
"1000577","Gastéropodes"
"1000582","Gastéropodes"
"1000583","Gastéropodes"
"1000584","Gastéropodes"
"1000585","Gastéropodes"
"1000586","Gastéropodes"
"1000587","Gastéropodes"
"1000588","Gastéropodes"
"100059","Angiospermes"
"1000590","Gastéropodes"
"1000591","Gastéropodes"
"1000592","Gastéropodes"
"1000594","Gastéropodes"
"1000596","Gastéropodes"
"1000597","Gastéropodes"
"1000599","Gastéropodes"
"1000600","Gastéropodes"
"1000602","Gastéropodes"
"1000604","Gastéropodes"
"1000606","Gastéropodes"
"1000607","Gastéropodes"
"1000608","Gastéropodes"
"1000609","Gastéropodes"
"1000610","Gastéropodes"
"1000611","Gastéropodes"
"1000613","Gastéropodes"
"1000618","Gastéropodes"
"1000620","Angiospermes"
"1000625","Insectes"
"1000631","Angiospermes"
"1000637","Angiospermes"
"1000640","Angiospermes"
"1000674","Insectes"
"1000676","Insectes"
"1000678","Insectes"
"1000680","Insectes"
"1000683","Insectes"
"1000684","Insectes"
"1000685","Insectes"
"1000686","Insectes"
"1000687","Insectes"
"1000688","Insectes"
"1000689","Insectes"
"1000690","Insectes"
"1000691","Insectes"
"1000693","Insectes"
"1000694","Insectes"
"1000699","Insectes"
"1000700","Insectes"
"1000701","Insectes"
"1000702","Insectes"
"1000703","Insectes"
"1000704","Insectes"
"1000705","Insectes"
"1000706","Insectes"
"1000708","Insectes"
"100076","Angiospermes"
"1000766","Angiospermes"
"1000769","Angiospermes"
"1000772","Gastéropodes"
"1000818","Angiospermes"
"1000820","Insectes"
"1000825","Insectes"
"1000835","Poissons"
"1000836","Poissons"
"1000841","Insectes"
"1000842","Angiospermes"
"100085","Angiospermes"
"1000864","Insectes"
"100087","Angiospermes"
"100088","Angiospermes"
"1000881","Gastéropodes"
"1000891","Insectes"
"1000896","Gastéropodes"
"1000898","Insectes"
"1000923","Insectes"
"1000925","Insectes"
"1000926","Insectes"
"1000966","Gastéropodes"
"1000972","Gastéropodes"
"1000977","Angiospermes"
"1000989","Arachnides"
"1000990","Arachnides"
"1000991","Arachnides"
"1000992","Arachnides"
"1000993","Arachnides"
"1000994","Arachnides"
"1000995","Arachnides"
"1000996","Arachnides"
"1000997","Arachnides"
"1000998","Arachnides"
"1001000","Arachnides"
"1001001","Insectes"
"1001002","Arachnides"
"1001004","Insectes"
"1001008","Insectes"
"1001010","Bivalves"
"100104","Angiospermes"
"1001049","Insectes"
"1001077","Insectes"
"100109","Angiospermes"
"1001102","Gastéropodes"
"1001106","Gastéropodes"
"1001107","Gastéropodes"
"1001108","Gastéropodes"
"1001119","Gastéropodes"
"1001130","Myriapodes"
"1001132","Amphibiens"
"100114","Angiospermes"
"1001149","Arachnides"
"1001152","Arachnides"
"1001181","Arachnides"
"1001187","Arachnides"
"1001199","Arachnides"
"100120","Angiospermes"
"1001200","Arachnides"
"1001202","Arachnides"
"1001204","Arachnides"
"1001205","Arachnides"
"1001206","Arachnides"
"1001208","Arachnides"
"1001211","Arachnides"
"1001214","Arachnides"
"1001216","Arachnides"
"1001231","Arachnides"
"1001240","Arachnides"
"1001241","Arachnides"
"1001244","Arachnides"
"1001249","Arachnides"
"1001263","Arachnides"
"1001274","Arachnides"
"1001276","Arachnides"
"100128","Angiospermes"
"1001289","Insectes"
"1001294","Insectes"
"1001295","Insectes"
"1001299","Insectes"
"1001301","Insectes"
"1001302","Insectes"
"1001303","Insectes"
"1001305","Insectes"
"1001306","Insectes"
"1001307","Gastéropodes"
"1001308","Insectes"
"1001309","Insectes"
"1001310","Insectes"
"1001312","Insectes"
"1001315","Gastéropodes"
"1001317","Gastéropodes"
"100132","Angiospermes"
"1001322","Gastéropodes"
"1001325","Insectes"
"100133","Angiospermes"
"1001343","Insectes"
"1001344","Insectes"
"100135","Angiospermes"
"1001355","Insectes"
"1001356","Insectes"
"1001357","Insectes"
"100136","Angiospermes"
"1001360","Insectes"
"100141","Angiospermes"
"1001411","Insectes"
"1001414","Insectes"
"1001415","Gastéropodes"
"1001419","Bivalves"
"100142","Angiospermes"
"1001423","Gastéropodes"
"1001424","Bivalves"
"1001426","Gastéropodes"
"1001427","Bivalves"
"1001428","Gastéropodes"
"1001429","Gastéropodes"
"1001431","Gastéropodes"
"1001433","Gastéropodes"
"1001434","Gastéropodes"
"1001436","Arachnides"
"1001438","Arachnides"
"100144","Angiospermes"
"1001440","Arachnides"
"1001475","Insectes"
"1001489","Insectes"
"100149","Angiospermes"
"1001511","Insectes"
"1001529","Insectes"
"1001536","Insectes"
"1001544","Insectes"
"1001545","Insectes"
"1001546","Insectes"
"1001547","Insectes"
"1001557","Insectes"
"1001558","Insectes"
"1001559","Insectes"
"1001560","Insectes"
"1001561","Insectes"
"1001562","Insectes"
"1001563","Insectes"
"1001580","Insectes"
"1001597","Crustacés"
"100160","Angiospermes"
"100161","Angiospermes"
"1001619","Crustacés"
"1001622","Crustacés"
"1001630","Crustacés"
"1001631","Crustacés"
"1001634","Crustacés"
"1001636","Crustacés"
"1001648","Insectes"
"1001649","Angiospermes"
"1001654","Crustacés"
"1001656","Crustacés"
"1001659","Crustacés"
"1001664","Crustacés"
"1001666","Crustacés"
"1001667","Autres"
"1001669","Autres"
"100167","Angiospermes"
"1001670","Crustacés"
"1001671","Crustacés"
"1001680","Crustacés"
"1001682","Autres"
"1001684","Crustacés"
"1001685","Gastéropodes"
"1001691","Crustacés"
"1001692","Gastéropodes"
"1001693","Gastéropodes"
"1001694","Crustacés"
"1001695","Crustacés"
"1001696","Gastéropodes"
"1001699","Crustacés"
"1001701","Myriapodes"
"1001702","Angiospermes"
"1001704","Crustacés"
"1001706","Crustacés"
"1001740","Arachnides"
"1001741","Arachnides"
"1001746","Arachnides"
"1001749","Arachnides"
"1001750","Arachnides"
"1001752","Arachnides"
"1001755","Arachnides"
"1001761","Arachnides"
"1001763","Arachnides"
"1001764","Arachnides"
"1001765","Arachnides"
"1001767","Arachnides"
"1001769","Arachnides"
"1001770","Arachnides"
"1001771","Arachnides"
"1001773","Arachnides"
"1001778","Arachnides"
"1001780","Arachnides"
"1001784","Arachnides"
"1001787","Arachnides"
"1001789","Autres"
"1001791","Insectes"
"1001793","Autres"
"1001796","Autres"
"1001797","Arachnides"
"1001800","Arachnides"
"1001801","Arachnides"
"1001803","Arachnides"
"1001804","Arachnides"
"1001807","Arachnides"
"100181","Angiospermes"
"1001810","Crustacés"
"1001812","Crustacés"
"1001820","Arachnides"
"1001821","Arachnides"
"1001822","Arachnides"
"1001825","Arachnides"
"1001828","Arachnides"
"1001829","Arachnides"
"1001830","Arachnides"
"1001831","Arachnides"
"1001832","Arachnides"
"1001833","Arachnides"
"1001838","Arachnides"
"1001843","Arachnides"
"1001850","Autres"
"1001868","Gastéropodes"
"1001869","Gastéropodes"
"100187","Angiospermes"
"1001870","Gastéropodes"
"1001871","Insectes"
"1001873","Gastéropodes"
"1001874","Insectes"
"1001875","Insectes"
"1001876","Insectes"
"1001877","Insectes"
"1001878","Insectes"
"1001879","Insectes"
"1001880","Insectes"
"1001881","Insectes"
"1001882","Insectes"
"1001894","Insectes"
"1001902","Insectes"
"1001905","Insectes"
"1001906","Insectes"
"1001929","Insectes"
"1001940","Arachnides"
"1001942","Arachnides"
"1001948","Crustacés"
"1001950","Crustacés"
"100197","Angiospermes"
"1001987","Autres"
"1001990","Angiospermes"
"1001991","Angiospermes"
"1001992","Angiospermes"
"1001999","Arachnides"
"1002","Oiseaux"
"1002003","Arachnides"
"1002008","Insectes"
"100201","Angiospermes"
"1002011","Insectes"
"1002014","Arachnides"
"1002015","Insectes"
"1002016","Arachnides"
"1002017","Arachnides"
"1002018","Arachnides"
"1002020","Arachnides"
"1002023","Arachnides"
"1002026","Arachnides"
"1002029","Arachnides"
"100203","Angiospermes"
"1002032","Arachnides"
"1002033","Arachnides"
"1002034","Arachnides"
"1002035","Arachnides"
"1002036","Arachnides"
"1002037","Arachnides"
"1002043","Myriapodes"
"1002046","Insectes"
"1002051","Autres"
"1002052","Insectes"
"1002068","Hépatiques et Anthocérotes"
"1002074","Arachnides"
"1002075","Arachnides"
"1002079","Arachnides"
"100208","Angiospermes"
"1002080","Arachnides"
"1002081","Arachnides"
"1002082","Arachnides"
"100212","Angiospermes"
"1002134","Angiospermes"
"100214","Angiospermes"
"100215","Angiospermes"
"1002151","Insectes"
"1002169","Insectes"
"1002174","Insectes"
"1002177","Insectes"
"1002179","Insectes"
"1002180","Insectes"
"1002182","Insectes"
"1002183","Insectes"
"1002186","Insectes"
"1002187","Insectes"
"1002189","Insectes"
"1002191","Insectes"
"1002192","Insectes"
"1002193","Insectes"
"1002194","Insectes"
"1002195","Insectes"
"1002197","Insectes"
"100221","Angiospermes"
"1002237","Insectes"
"1002238","Insectes"
"1002240","Insectes"
"1002241","Insectes"
"1002243","Insectes"
"1002244","Insectes"
"1002246","Insectes"
"1002249","Insectes"
"100225","Angiospermes"
"1002250","Insectes"
"1002254","Insectes"
"1002275","Insectes"
"1002276","Insectes"
"1002278","Insectes"
"1002290","Insectes"
"1002297","Insectes"
"100230","Angiospermes"
"1002304","Angiospermes"
"1002305","Autres"
"1002319","Angiospermes"
"1002328","Autres"
"1002335","Ochrophytes"
"1002336","Ochrophytes"
"1002342","Ochrophytes"
"1002344","Ochrophytes"
"1002350","Autres"
"1002353","Angiospermes"
"1002355","Ochrophytes"
"1002360","Ptéridophytes"
"1002364","Angiospermes"
"1002367","Angiospermes"
"1002372","Angiospermes"
"1002373","Angiospermes"
"1002374","Angiospermes"
"1002375","Angiospermes"
"1002378","Angiospermes"
"1002379","Angiospermes"
"1002380","Angiospermes"
"1002381","Angiospermes"
"1002382","Angiospermes"
"1002387","Angiospermes"
"1002388","Insectes"
"1002389","Insectes"
"1002399","Angiospermes"
"1002404","Insectes"
"1002406","Insectes"
"1002407","Insectes"
"1002408","Insectes"
"1002409","Insectes"
"1002410","Insectes"
"1002411","Insectes"
"1002412","Insectes"
"1002414","Insectes"
"1002415","Insectes"
"1002416","Autres"
"1002420","Autres"
"1002421","Autres"
"1002425","Autres"
"1002432","Autres"
"1002440","Insectes"
"1002458","Angiospermes"
"1002460","Angiospermes"
"1002462","Ptéridophytes"
"1002469","Amphibiens"
"1002470","Gastéropodes"
"1002471","Angiospermes"
"10025","Insectes"
"1002525","Arachnides"
"1002527","Insectes"
"1002528","Insectes"
"100253","Angiospermes"
"1002530","Insectes"
"1002533","Insectes"
"1002534","Insectes"
"1002535","Insectes"
"1002536","Insectes"
"1002537","Insectes"
"1002539","Insectes"
"1002544","Arachnides"
"1002563","Insectes"
"1002564","Angiospermes"
"1002566","Arachnides"
"1002568","Insectes"
"100258","Gymnospermes"
"100261","Angiospermes"
"100264","Angiospermes"
"1002648","Insectes"
"1002649","Insectes"
"1002650","Insectes"
"1002652","Insectes"
"1002653","Insectes"
"1002654","Insectes"
"1002655","Insectes"
"1002656","Insectes"
"1002657","Insectes"
"1002658","Insectes"
"100266","Angiospermes"
"1002679","Insectes"
"1002683","Insectes"
"100269","Angiospermes"
"1002713","Insectes"
"100272","Angiospermes"
"100273","Angiospermes"
"1002745","Insectes"
"1002748","Insectes"
"100275","Angiospermes"
"1002753","Insectes"
"1002763","Insectes"
"1002765","Angiospermes"
"100278","Angiospermes"
"1002782","Insectes"
"1002787","Insectes"
"1002789","Insectes"
"1002793","Insectes"
"1002799","Insectes"
"10028","Insectes"
"1002805","Insectes"
"1002806","Insectes"
"1002807","Insectes"
"1002814","Insectes"
"1002822","Insectes"
"1002823","Insectes"
"1002824","Insectes"
"1002825","Insectes"
"1002826","Insectes"
"1002839","Autres"
"1002868","Arachnides"
"100288","Angiospermes"
"1002881","Angiospermes"
"1002882","Angiospermes"
"1002883","Insectes"
"1002886","Insectes"
"1002888","Insectes"
"100289","Angiospermes"
"1002899","Angiospermes"
"1002910","Insectes"
"1002964","Insectes"
"1002982","Insectes"
"1002984","Insectes"
"1002994","Angiospermes"
"1002995","Angiospermes"
"1002996","Angiospermes"
"1002997","Angiospermes"
"1002998","Angiospermes"
"1003000","Angiospermes"
"1003005","Insectes"
"1003006","Autres"
"1003007","Insectes"
"1003014","Insectes"
"1003015","Insectes"
"1003019","Autres"
"1003022","Insectes"
"100303","Angiospermes"
"1003033","Insectes"
"1003037","Mammifères"
"100304","Angiospermes"
"1003045","Insectes"
"1003051","Insectes"
"100310","Angiospermes"
"100313","Angiospermes"
"1003144","Insectes"
"1003145","Insectes"
"1003146","Insectes"
"1003148","Insectes"
"1003149","Insectes"
"1003166","Insectes"
"1003170","Arachnides"
"1003171","Insectes"
"1003172","Insectes"
"1003178","Insectes"
"1003179","Insectes"
"1003186","Insectes"
"1003192","Insectes"
"1003210","Insectes"
"1003217","Insectes"
"1003224","Insectes"
"1003225","Insectes"
"1003226","Insectes"
"1003229","Insectes"
"1003230","Insectes"
"1003231","Insectes"
"1003233","Insectes"
"1003234","Insectes"
"1003236","Insectes"
"1003238","Insectes"
"1003239","Insectes"
"1003248","Insectes"
"1003251","Insectes"
"1003258","Insectes"
"1003259","Insectes"
"1003262","Insectes"
"1003272","Insectes"
"1003275","Insectes"
"1003281","Angiospermes"
"1003291","Angiospermes"
"100330","Angiospermes"
"100332","Angiospermes"
"1003325","Insectes"
"1003326","Insectes"
"1003333","Insectes"
"1003336","Insectes"
"1003338","Insectes"
"100335","Angiospermes"
"100338","Angiospermes"
"1003380","Insectes"
"100340","Angiospermes"
"1003408","Insectes"
"1003409","Insectes"
"1003418","Myriapodes"
"1003420","Insectes"
"1003430","Hépatiques et Anthocérotes"
"100344","Angiospermes"
"1003459","Entognathes"
"1003469","Autres"
"1003474","Autres"
"100348","Angiospermes"
"1003483","Autres"
"1003484","Entognathes"
"1003485","Entognathes"
"1003489","Entognathes"
"100349","Angiospermes"
"1003492","Entognathes"
"100350","Angiospermes"
"1003510","Lichens"
"1003515","Insectes"
"1003518","Insectes"
"1003528","Autres"
"100353","Angiospermes"
"1003536","Insectes"
"100356","Angiospermes"
"1003566","Arachnides"
"1003573","Arachnides"
"1003655","Insectes"
"100374","Angiospermes"
"1003749","Insectes"
"1003753","Insectes"
"1003755","Insectes"
"1003756","Insectes"
"1003759","Arachnides"
"1003761","Arachnides"
"1003762","Arachnides"
"100382","Angiospermes"
"100387","Angiospermes"
"10039","Insectes"
"100394","Angiospermes"
"1003958","Insectes"
"100398","Angiospermes"
"100409","Angiospermes"
"100419","Angiospermes"
"100422","Angiospermes"
"100427","Angiospermes"
"10043","Insectes"
"100437","Angiospermes"
"10045","Insectes"
"1004525","Insectes"
"1004554","Insectes"
"1004580","Insectes"
"100470","Angiospermes"
"100480","Angiospermes"
"1004823","Gastéropodes"
"100487","Angiospermes"
"1005","Oiseaux"
"10050","Insectes"
"1005082","Insectes"
"100515","Angiospermes"
"100516","Angiospermes"
"1005181","Insectes"
"100519","Angiospermes"
"1005296","Insectes"
"10053","Insectes"
"1005397","Ochrophytes"
"100542","Angiospermes"
"1005426","Insectes"
"100544","Angiospermes"
"1005470","Insectes"
"1005504","Insectes"
"100551","Angiospermes"
"1005513","Insectes"
"1005533","Insectes"
"100557","Angiospermes"
"10056","Insectes"
"100576","Angiospermes"
"100579","Angiospermes"
"100580","Angiospermes"
"100581","Angiospermes"
"1005830","Angiospermes"
"1005831","Angiospermes"
"100584","Angiospermes"
"1005912","Ptéridophytes"
"1005957","Autres"
"1005958","Autres"
"100596","Angiospermes"
"1005993","Poissons"
"1006002","Insectes"
"1006016","Insectes"
"1006018","Insectes"
"1006020","Autres"
"1006023","Insectes"
"100603","Angiospermes"
"100607","Angiospermes"
"100608","Angiospermes"
"100613","Angiospermes"
"100614","Angiospermes"
"1006150","Autres"
"100616","Angiospermes"
"100626","Angiospermes"
"1006275","Gastéropodes"
"100628","Angiospermes"
"10063","Insectes"
"100636","Ptéridophytes"
"100637","Ptéridophytes"
"1006376","Insectes"
"1006387","Angiospermes"
"1006397","Insectes"
"100640","Ptéridophytes"
"1006400","Insectes"
"1006418","Insectes"
"1006428","Insectes"
"1006468","Insectes"
"1006497","Autres"
"1006504","Autres"
"1006506","Insectes"
"1006580","Insectes"
"1006607","Insectes"
"1006614","Insectes"
"1006669","Insectes"
"1006681","Insectes"
"1006691","Angiospermes"
"100674","Angiospermes"
"100677","Angiospermes"
"100678","Angiospermes"
"1006802","Insectes"
"1006814","Insectes"
"1006858","Gastéropodes"
"100686","Angiospermes"
"1006880","Autres"
"1006938","Ptéridophytes"
"100702","Angiospermes"
"1007040","Angiospermes"
"1007043","Angiospermes"
"1007048","Insectes"
"1007050","Insectes"
"1007070","Insectes"
"10071","Insectes"
"100710","Angiospermes"
"100712","Angiospermes"
"100714","Angiospermes"
"1007156","Insectes"
"1007164","Insectes"
"1007168","Insectes"
"1007169","Insectes"
"1007175","Insectes"
"100718","Angiospermes"
"1007182","Insectes"
"1007184","Insectes"
"100719","Angiospermes"
"1007193","Insectes"
"100720","Angiospermes"
"100722","Angiospermes"
"100728","Angiospermes"
"10073","Insectes"
"100736","Angiospermes"
"100737","Angiospermes"
"100739","Angiospermes"
"10074","Insectes"
"1007425","Arachnides"
"1007432","Arachnides"
"1007433","Insectes"
"1007434","Insectes"
"1007435","Insectes"
"1007436","Insectes"
"1007437","Insectes"
"1007438","Insectes"
"1007439","Insectes"
"1007440","Insectes"
"1007441","Insectes"
"100745","Angiospermes"
"1007535","Insectes"
"1007539","Insectes"
"1007540","Insectes"
"1007542","Insectes"
"1007543","Insectes"
"1007544","Insectes"
"1007545","Insectes"
"1007546","Insectes"
"100758","Angiospermes"
"1007658","Insectes"
"1007659","Insectes"
"1007662","Insectes"
"1007692","Autres"
"1007693","Angiospermes"
"1007702","Insectes"
"1007761","Angiospermes"
"100779","Angiospermes"
"1007794","Insectes"
"1007796","Insectes"
"10078","Insectes"
"1007834","Insectes"
"1007836","Insectes"
"100784","Angiospermes"
"1007860","Insectes"
"1007861","Insectes"
"1007862","Insectes"
"1007863","Insectes"
"1007864","Insectes"
"1007865","Insectes"
"100787","Angiospermes"
"1007870","Insectes"
"1007871","Insectes"
"1007872","Insectes"
"1007873","Insectes"
"1007877","Insectes"
"1007878","Insectes"
"100788","Angiospermes"
"1007882","Insectes"
"1007943","Insectes"
"1007944","Insectes"
"10080","Insectes"
"1008005","Insectes"
"1008031","Insectes"
"1008033","Insectes"
"1008046","Insectes"
"1008048","Insectes"
"1008050","Insectes"
"1008051","Insectes"
"1008052","Insectes"
"10081","Insectes"
"100813","Angiospermes"
"1008139","Poissons"
"1008143","Arachnides"
"1008152","Insectes"
"10082","Insectes"
"1008225","Insectes"
"100824","Angiospermes"
"100825","Angiospermes"
"100827","Angiospermes"
"10083","Insectes"
"100834","Angiospermes"
"1008349","Gastéropodes"
"1008353","Gastéropodes"
"1008359","Insectes"
"1008365","Insectes"
"1008369","Insectes"
"1008371","Gastéropodes"
"1008372","Gastéropodes"
"1008376","Insectes"
"1008378","Insectes"
"100838","Angiospermes"
